section,metric,classification,status,delta_total,root_cause,recommended_action,governance_impact,notes
SHL,Opening Balance,MISSING_EVIDENCE,REVIEW,N/A,The committed SHL bridge does not provide a full-horizon opening-balance series that can be lined up one-for-one with runtime periods.,"Treat this as an evidence limitation and anchor review attention on principal, interest, and closing balance rows.",Review only,Missing evidence is not a zero opening balance.
SHL,Gross Accrued Interest,WARN,REVIEW,7289.895295484188,The remaining SHL gross-interest delta reflects timing and presentation differences between the committed bridge and the runtime accrued-interest schedule.,"Keep the row visible for reviewer scrutiny, but do not redesign SHL mechanics in this branch.",Review only,Gross accrued interest is the authoritative model-side SHL P&L bridge.
SHL,Cash Interest Paid,MISSING_EVIDENCE,REVIEW,N/A,"Committed Excel bridge evidences gross accrued SHL interest, not a separate cash-interest split.",Keep separate from gross accrued interest and document as presentation gap.,None,Runtime field is real; Excel side is the missing piece.
SHL,PIK Capitalized,MISSING_EVIDENCE,REVIEW,N/A,PIK is not separately extractable from the committed Excel evidence set.,Map Excel PIK rows only if stakeholders require the split.,None,Do not net PIK into cash interest.
SHL,Principal Repaid,WARN,REVIEW,23432.480094655984,"SHL principal timing moved closer to Excel after the controlled alignment work, but committed bridge totals still reflect a slightly different period framing.",Document as a timing reconciliation item and keep the runtime-alignment branch as the authoritative history.,Stakeholder review only,No new SHL timing change is made here.
SHL,Closing Balance,MISSING_EVIDENCE,REVIEW,N/A,The committed SHL bridge does not provide a clean full-horizon closing-balance series that matches runtime period boundaries exactly.,Keep as an evidence limitation and rely on the runtime balance schedule plus prior Phase 9 review workbook for detail.,Review only,"Explicit evidence gap, not a silent zero."
Tax,Book Depreciation,MISSING_EVIDENCE,REVIEW,N/A,Book depreciation is available runtime-side but not committed Excel-side at full-horizon row granularity.,Use the Phase 6/9 depreciation evidence branches for any future ledger-level parity work.,Review only,Explicitly kept separate from tax depreciation.
Tax,Tax Depreciation,MISSING_EVIDENCE,REVIEW,N/A,Tax depreciation evidence exists in prior diagnostics but not as a committed period-level Excel bridge row here.,Leave as evidence gap unless a tax-specific parity branch is opened.,Review only,No silent zero-fill.
Tax,R35 Taxable Income Before Losses,WARN,REVIEW,N/A,Known governed Phase 6 residual; Excel-side R35 row ownership remains partially unmapped in committed extracts.,Keep governed residual explicit; do not hardcode a parity plug.,G20 support evidence,"Residual is documented, not runtime-fixed."
Tax,R67 CIT Cash,MISSING_EVIDENCE,REVIEW,N/A,Committed Excel extracts do not include a period-level R67 bridge in this pack.,Carry forward as missing evidence rather than zero.,Review only,Runtime tax cash remains visible.
Tax,Losses Opening,MISSING_EVIDENCE,REVIEW,N/A,Loss bucket evidence is runtime-side only in this branch.,Reference the dedicated Phase 6 loss-engine evidence if a reviewer asks for lineage.,None,Audit field available runtime-side.
Tax,Losses Used,MISSING_EVIDENCE,REVIEW,N/A,Committed Excel bridge does not expose period-level loss usage in this pack.,Keep visible as runtime-only audit detail.,None,Do not synthesize Excel values.
CFADS,EBITDA Cash Proxy,PASS,OK,-677.370969057898,,,None,
CFADS,Tax Cash,MISSING_EVIDENCE,REVIEW,N/A,Excel tax cash row is not committed in the current evidence pack.,Keep as runtime evidence only.,Review only,Missing evidence is explicit.
CFADS,CFADS / R69,MISSING_EVIDENCE,REVIEW,N/A,Period-level Excel R69 remains outside the committed evidence set.,Future tax/waterfall review can map this if required.,Review only,Runtime value is available.
CFADS,FCF for Distribution / R99,GOVERNANCE_BLOCKER,REVIEW,N/A,R99 runtime promotion remains not approved by governance.,Do not promote or rely on R99 as authoritative runtime source.,R99/R102 not approved,Shown for audit visibility only.
CFADS,FCF for SHL / R102,GOVERNANCE_BLOCKER,REVIEW,N/A,R102 runtime promotion remains not approved by governance.,Keep audit-only until explicit approval.,R99/R102 not approved,No runtime promotion implied.
Distributions,Excel Dividends / Distribution,ACCEPTED_CONVENTION,REVIEW,21862.894783067197,Excel dividend labeling and runtime distribution wiring are documented as definitionally different.,Use runtime distribution as authoritative and keep DA staging separate.,Stakeholder presentation choice,No mixed flag-state values.
Distributions,DA-Wired / Pre-G20 Staging,GOVERNANCE_BLOCKER,REVIEW,N/A,DA-wired distribution remains audit-only pending governance approval.,Keep clearly separated from the default runtime path.,G20 / R99 review,Not authoritative for parity closeout.
Distributions,Legacy Runtime Distribution,ACCEPTED_CONVENTION,REVIEW,N/A,"Legacy distribution remains a reporting lens, not the reviewer-facing primary distribution stream.",Retain for traceability only.,None,Separate from default runtime distribution row.
Returns,Project IRR,PASS,PASS,-0.0005983752769384842,Within documented tolerance versus Excel.,None,None,See Total column for scalar value.
Returns,Equity IRR,WARN,REVIEW,-0.004604924443546016,Residual is governed by accepted conventions and remaining reporting-view decisions.,Stakeholder can accept residual or request a reconciliation IRR reporting view.,G20 stakeholder acceptance,See Total column for scalar value.
Returns,Reconciliation IRR,MISSING_EVIDENCE,REVIEW,N/A,Reconciliation IRR view has not been implemented as a reporting-only layer.,Open a dedicated reporting-view branch if stakeholders require it.,Stakeholder decision pending,Missing evidence is explicit.
Returns,MOIC,RUNTIME_BINDING_PENDING,REVIEW,N/A,MOIC is not yet exported as a first-class runtime/reporting metric in the current workbook foundations.,Add a reporting-only MOIC view if the review committee asks for it.,None,Do not invent a proxy here.
Returns,Average DSCR,WARN,REVIEW,0.10322840310424386,Residual remains documented in prior calibration evidence and is not a new runtime issue in this branch.,Keep as review evidence only.,G20 support evidence,See Total column for scalar value.
Returns,Minimum DSCR,MISSING_EVIDENCE,REVIEW,N/A,Committed Excel evidence does not include a reliable minimum DSCR row for this pack.,Document as missing evidence rather than a failed model row.,Review only,See Total column for scalar value.
