period,date,legacy_distribution_keur,da_distribution_keur,delta_keur,actual_dscr,target_dscr,lockup_within_senior_tenor,lockup_details,cash_available_keur,senior_tenor_years,period_index,shl_balance_keur,senior_balance_keur
23,2040-12-31,3401.3,3401.3,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3401.3,14,21,0.0,0.0
24,2041-06-30,3667.64,3667.64,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3667.64,14,22,0.0,0.0
25,2041-12-31,3474.37,3474.37,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),3474.37,14,23,0.0,0.0
26,2042-06-30,6140.28,6140.28,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),6140.28,14,24,0.0,0.0
27,2042-12-31,5736.64,5736.64,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),5736.64,14,25,0.0,0.0
28,2043-06-30,6115.46,6115.46,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),6115.46,14,26,0.0,0.0
29,2043-12-31,5713.92,5713.92,0.0,999.0,1.2,True,within_senior_tenor(periods_1_to_28),5713.92,14,27,0.0,0.0
30,2044-06-30,6187.85,6187.85,0.0,999.0,1.2,False,beyond_senior_tenor,6187.85,14,28,0.0,0.0
31,2044-12-31,5748.72,5748.72,0.0,999.0,1.2,False,beyond_senior_tenor,5748.72,14,29,0.0,0.0
32,2045-06-30,6221.79,6221.79,0.0,999.0,1.2,False,beyond_senior_tenor,6221.79,14,30,0.0,0.0
33,2045-12-31,5811.21,5811.21,0.0,999.0,1.2,False,beyond_senior_tenor,5811.21,14,31,0.0,0.0
34,2046-06-30,6419.49,6419.49,0.0,999.0,1.2,False,beyond_senior_tenor,6419.49,14,32,0.0,0.0
35,2046-12-31,5992.09,5992.09,0.0,999.0,1.2,False,beyond_senior_tenor,5992.09,14,33,0.0,0.0
36,2047-06-30,6570.29,6570.29,0.0,999.0,1.2,False,beyond_senior_tenor,6570.29,14,34,0.0,0.0
37,2047-12-31,6130.06,6130.06,0.0,999.0,1.2,False,beyond_senior_tenor,6130.06,14,35,0.0,0.0
38,2048-06-30,6735.89,6735.89,0.0,999.0,1.2,False,beyond_senior_tenor,6735.89,14,36,0.0,0.0
39,2048-12-31,6247.38,6247.38,0.0,999.0,1.2,False,beyond_senior_tenor,6247.38,14,37,0.0,0.0
40,2049-06-30,6868.64,6868.64,0.0,999.0,1.2,False,beyond_senior_tenor,6868.64,14,38,0.0,0.0
41,2049-12-31,6403.02,6403.02,0.0,999.0,1.2,False,beyond_senior_tenor,6403.02,14,39,0.0,0.0
42,2050-06-30,7018.6,7018.6,0.0,999.0,1.2,False,beyond_senior_tenor,7018.6,14,40,0.0,0.0
43,2050-12-31,6540.23,6540.23,0.0,999.0,1.2,False,beyond_senior_tenor,6540.23,14,41,0.0,0.0
44,2051-06-30,7168.19,7168.19,0.0,999.0,1.2,False,beyond_senior_tenor,7168.19,14,42,0.0,0.0
45,2051-12-31,6677.09,6677.09,0.0,999.0,1.2,False,beyond_senior_tenor,6677.09,14,43,0.0,0.0
46,2052-06-30,7375.59,7375.59,0.0,999.0,1.2,False,beyond_senior_tenor,7375.59,14,44,0.0,0.0
47,2052-12-31,6829.44,6829.44,0.0,999.0,1.2,False,beyond_senior_tenor,6829.44,14,45,0.0,0.0
48,2053-06-30,7485.2,7485.2,0.0,999.0,1.2,False,beyond_senior_tenor,7485.2,14,46,0.0,0.0
49,2053-12-31,6967.13,6967.13,0.0,999.0,1.2,False,beyond_senior_tenor,6967.13,14,47,0.0,0.0
50,2054-06-30,7616.44,7616.44,0.0,999.0,1.2,False,beyond_senior_tenor,7616.44,14,48,0.0,0.0
51,2054-12-31,7087.2,7087.2,0.0,999.0,1.2,False,beyond_senior_tenor,7087.2,14,49,0.0,0.0
52,2055-06-30,7804.73,7804.73,0.0,999.0,1.2,False,beyond_senior_tenor,7804.73,14,50,0.0,0.0
53,2055-12-31,7259.47,7259.47,0.0,999.0,1.2,False,beyond_senior_tenor,7259.47,14,51,0.0,0.0
54,2056-06-30,7951.81,7951.81,0.0,999.0,1.2,False,beyond_senior_tenor,7951.81,14,52,0.0,0.0
55,2056-12-31,7353.73,7353.73,0.0,999.0,1.2,False,beyond_senior_tenor,7353.73,14,53,0.0,0.0
56,2057-06-30,8017.06,8017.06,0.0,999.0,1.2,False,beyond_senior_tenor,8017.06,14,54,0.0,0.0
57,2057-12-31,7453.74,7453.74,0.0,999.0,1.2,False,beyond_senior_tenor,7453.74,14,55,0.0,0.0
58,2058-06-30,8093.73,8093.73,0.0,999.0,1.2,False,beyond_senior_tenor,8093.73,14,56,0.0,0.0
59,2058-12-31,7523.88,7523.88,0.0,999.0,1.2,False,beyond_senior_tenor,7523.88,14,57,0.0,0.0
60,2059-06-30,8114.09,8114.09,0.0,999.0,1.2,False,beyond_senior_tenor,8114.09,14,58,0.0,0.0
61,2059-12-31,7542.51,7542.51,0.0,999.0,1.2,False,beyond_senior_tenor,7542.51,14,59,0.0,0.0
62,2060-01-01,56.12,56.12,0.0,999.0,1.2,False,beyond_senior_tenor,56.12,14,60,0.0,0.0
