excel_col,period_index,operating_period_index,cf_r69_cfads_keur,cf_r70_senior_ds_keur,cf_r70_formula,post_senior_cash_keur,cf_r99_fcf_for_dist_keur,cf_r99_formula,cf_r102_fcf_for_shl_keur,cf_r102_formula,cf_r104_net_shl_keur,cf_r104_formula,ds_r120_shl_beginning_keur,ds_r135_gross_accrued_int_keur,cf_r116_cash_avail_for_int_keur,ds_r122_net_int_paid_keur,ds_r138_pik_capitalized_keur,ds_r137_principal_repaid_keur,ds_r139_shl_ending_keur,ds_r127_ds_incl_wth_keur,ds_r128_ds_excl_wth_keur,pct_cash_int_paid,pct_pik,cash_sweep_pct,classification,notes
R,12,6,3200.0232,-2189.918,"=-SUM(DS!R49:R50,DS!R84:R85)",1010.1052,1010.1052,"=IF(AND(OR(R$128<$B$99,R$3=0,R98<0,R81<R76,R95<R90),R$3<=$B$10),0,R98)",1010.1052,=R99,-1010.1052,=-DS!R128,36620.9875,1452.7997,0.0,1452.7997,442.6945,0.0,37063.682,1010.1052,1010.1052,1.0,0.3047,1.0,SHL_Active,PIK
S,13,6,3253.0622,-2226.2149,"=-SUM(DS!S49:S50,DS!S84:S85)",1026.8473,1026.8473,"=IF(AND(OR(S$128<$B$99,S$3=0,S98<0,S81<S76,S95<S90),S$3<=$B$10),0,S98)",1026.8473,=S99,-1026.8473,=-DS!S128,37063.682,1494.7326,0.0,1494.7326,467.8853,0.0,37531.5673,1026.8473,1026.8473,1.0,0.313,1.0,SHL_Active,PIK
T,14,7,3276.6068,-2243.1435,"=-SUM(DS!T49:T50,DS!T84:T85)",1033.4633,1033.4633,"=IF(AND(OR(T$128<$B$99,T$3=0,T98<0,T81<T76,T95<T90),T$3<=$B$10),0,T98)",1033.4633,=T99,-1033.4633,=-DS!T128,37531.5673,1497.1496,0.0,1497.1496,463.6863,0.0,37995.2537,1033.4633,1033.4633,1.0,0.3097,1.0,SHL_Active,PIK
U,15,7,3312.6135,-2267.7935,"=-SUM(DS!U49:U50,DS!U84:U85)",1044.82,1044.82,"=IF(AND(OR(U$128<$B$99,U$3=0,U98<0,U81<U76,U95<U90),U$3<=$B$10),0,U98)",1044.82,=U99,-1044.82,=-DS!U128,37995.2537,1532.3017,0.0,1532.3017,487.4817,0.0,38482.7354,1044.82,1044.82,1.0,0.3181,1.0,SHL_Active,PIK
V,16,8,3340.2197,-2287.658,"=-SUM(DS!V49:V50,DS!V84:V85)",1052.5617,1052.5617,"=IF(AND(OR(V$128<$B$99,V$3=0,V98<0,V81<V76,V95<V90),V$3<=$B$10),0,V98)",1052.5617,=V99,-1052.5617,=-DS!V128,38482.7354,1526.6576,0.0,1526.6576,474.0959,0.0,38956.8313,1052.5617,1052.5617,1.0,0.3105,1.0,SHL_Active,PIK
W,17,8,3395.5825,-2325.575,"=-SUM(DS!W49:W50,DS!W84:W85)",1070.0074,1070.0074,"=IF(AND(OR(W$128<$B$99,W$3=0,W98<0,W81<W76,W95<W90),W$3<=$B$10),0,W98)",1070.0074,=W99,-1070.0074,=-DS!W128,38956.8313,1571.081,0.0,1571.081,501.0735,0.0,39457.9048,1070.0074,1070.0074,1.0,0.3189,1.0,SHL_Active,PIK
X,18,9,3418.1201,-2342.1228,"=-SUM(DS!X49:X50,DS!X84:X85)",1075.9973,1075.9973,"=IF(AND(OR(X$128<$B$99,X$3=0,X98<0,X81<X76,X95<X90),X$3<=$B$10),0,X98)",1075.9973,=X99,-1075.9973,=-DS!X128,39457.9048,1565.3437,0.0,1565.3437,489.3465,0.0,39947.2512,1075.9973,1075.9973,1.0,0.3126,1.0,SHL_Active,PIK
Y,19,9,3474.774,-2380.9426,"=-SUM(DS!Y49:Y50,DS!Y84:Y85)",1093.8315,1093.8315,"=IF(AND(OR(Y$128<$B$99,Y$3=0,Y98<0,Y81<Y76,Y95<Y90),Y$3<=$B$10),0,Y98)",1093.8315,=Y99,-1093.8315,=-DS!Y128,39947.2512,1611.0234,0.0,1611.0234,517.1919,0.0,40464.4432,1093.8315,1093.8315,1.0,0.321,1.0,SHL_Active,PIK
Z,20,10,3494.0372,-2395.1114,"=-SUM(DS!Z49:Z50,DS!Z84:Z85)",1098.9258,1098.9258,"=IF(AND(OR(Z$128<$B$99,Z$3=0,Z98<0,Z81<Z76,Z95<Z90),Z$3<=$B$10),0,Z98)",1098.9258,=Z99,-1098.9258,=-DS!Z128,40464.4432,1605.2743,0.0,1605.2743,506.3485,0.0,40970.7917,1098.9258,1098.9258,1.0,0.3154,1.0,SHL_Active,PIK
AA,21,10,3551.9495,-2434.8094,"=-SUM(DS!AA49:AA50,DS!AA84:AA85)",1117.1401,1117.1401,"=IF(AND(OR(AA$128<$B$99,AA$3=0,AA98<0,AA81<AA76,AA95<AA90),AA$3<=$B$10),0,AA98)",1117.1401,=AA99,-1117.1401,=-DS!AA128,40970.7917,1652.3015,0.0,1652.3015,535.1614,0.0,41505.9531,1117.1401,1117.1401,1.0,0.3239,1.0,SHL_Active,PIK
AB,22,11,3556.8298,-2435.8721,"=-SUM(DS!AB49:AB50,DS!AB84:AB85)",1120.9577,1120.9577,"=IF(AND(OR(AB$128<$B$99,AB$3=0,AB98<0,AB81<AB76,AB95<AB90),AB$3<=$B$10),0,AB98)",1120.9577,=AB99,-1120.9577,=-DS!AB128,41505.9531,1655.6895,0.0,1655.6895,534.7318,0.0,42040.6849,1120.9577,1120.9577,1.0,0.323,1.0,SHL_Active,PIK
AC,23,11,3595.9158,-2462.6399,"=-SUM(DS!AC49:AC50,DS!AC84:AC85)",1133.2759,1133.2759,"=IF(AND(OR(AC$128<$B$99,AC$3=0,AC98<0,AC81<AC76,AC95<AC90),AC$3<=$B$10),0,AC98)",1133.2759,=AC99,-1133.2759,=-DS!AC128,42040.6849,1695.449,0.0,1695.449,562.1731,0.0,42602.858,1133.2759,1133.2759,1.0,0.3316,1.0,SHL_Active,PIK
AD,24,12,3626.2541,-2484.4659,"=-SUM(DS!AD49:AD50,DS!AD84:AD85)",1141.7882,1141.7882,"=IF(AND(OR(AD$128<$B$99,AD$3=0,AD98<0,AD81<AD76,AD95<AD90),AD$3<=$B$10),0,AD98)",1141.7882,=AD99,-1141.7882,=-DS!AD128,42602.858,1690.1079,0.0,1690.1079,548.3197,0.0,43151.1778,1141.7882,1141.7882,1.0,0.3244,1.0,SHL_Active,PIK
AE,25,12,3686.3577,-2525.6449,"=-SUM(DS!AE49:AE50,DS!AE84:AE85)",1160.7128,1160.7128,"=IF(AND(OR(AE$128<$B$99,AE$3=0,AE98<0,AE81<AE76,AE95<AE90),AE$3<=$B$10),0,AE98)",1160.7128,=AE99,-1160.7128,=-DS!AE128,43151.1778,1740.2338,0.0,1740.2338,579.521,0.0,43730.6987,1160.7128,1160.7128,1.0,0.333,1.0,SHL_Active,PIK
AF,26,13,6108.9358,-2875.303,"=-SUM(DS!AF49:AF50,DS!AF84:AF85)",3233.6327,3233.6327,"=IF(AND(OR(AF$128<$B$99,AF$3=0,AF98<0,AF81<AF76,AF95<AF90),AF$3<=$B$10),0,AF98)",3233.6327,=AF99,-3233.6327,=-DS!AF128,43730.6987,1734.8507,0.0,1734.8507,0.0,1498.782,42231.9167,3233.6327,3233.6327,1.0,0.0,1.0,SHL_Active,
AG,27,13,6089.9998,-2922.96,"=-SUM(DS!AG49:AG50,DS!AG84:AG85)",3167.0398,3167.0398,"=IF(AND(OR(AG$128<$B$99,AG$3=0,AG98<0,AG81<AG76,AG95<AG90),AG$3<=$B$10),0,AG98)",3167.0398,=AG99,-3167.0398,=-DS!AG128,42231.9167,1703.1611,0.0,1703.1611,0.0,1463.8787,40768.038,3167.0398,3167.0398,1.0,0.0,1.0,SHL_Active,
AH,28,14,6094.5967,-2829.3325,"=-SUM(DS!AH49:AH50,DS!AH84:AH85)",3265.2643,3265.2643,"=IF(AND(OR(AH$128<$B$99,AH$3=0,AH98<0,AH81<AH76,AH95<AH90),AH$3<=$B$10),0,AH98)",3265.2643,=AH99,-3265.2643,=-DS!AH128,40768.038,1617.3183,0.0,1617.3183,0.0,1647.9459,39120.0921,3265.2643,3265.2643,1.0,0.0,1.0,SHL_Active,
AI,29,14,5240.3745,-2844.7933,"=-SUM(DS!AI49:AI50,DS!AI84:AI85)",2395.5812,2395.5812,"=IF(AND(OR(AI$128<$B$99,AI$3=0,AI98<0,AI81<AI76,AI95<AI90),AI$3<=$B$10),0,AI98)",2395.5812,=AI99,-2395.5812,=-DS!AI128,39120.0921,1577.6651,0.0,1577.6651,0.0,817.9162,38302.1759,2395.5812,2395.5812,1.0,0.0,1.0,SHL_Active,
AJ,30,15,6191.8378,0.0,"=-SUM(DS!AJ49:AJ50,DS!AJ84:AJ85)",6191.8378,6191.8378,"=IF(AND(OR(AJ$128<$B$99,AJ$3=0,AJ98<0,AJ81<AJ76,AJ95<AJ90),AJ$3<=$B$10),0,AJ98)",6191.8378,=AJ99,-6191.8378,=-DS!AJ128,38302.1759,1527.8895,0.0,1527.8895,0.0,4663.9483,33638.2277,6191.8378,6191.8378,1.0,0.0,1.0,SHL_Active,
AK,31,15,5175.3396,0.0,"=-SUM(DS!AK49:AK50,DS!AK84:AK85)",5175.3396,5175.3396,"=IF(AND(OR(AK$128<$B$99,AK$3=0,AK98<0,AK81<AK76,AK95<AK90),AK$3<=$B$10),0,AK98)",5175.3396,=AK99,-5175.3396,=-DS!AK128,33638.2277,1356.5883,0.0,1356.5883,0.0,3818.7514,29819.4763,5175.3396,5175.3396,1.0,0.0,1.0,SHL_Active,
AL,32,16,6212.2932,0.0,"=-SUM(DS!AL49:AL50,DS!AL84:AL85)",6212.2932,6212.2932,"=IF(AND(OR(AL$128<$B$99,AL$3=0,AL98<0,AL81<AL76,AL95<AL90),AL$3<=$B$10),0,AL98)",6212.2932,=AL99,-6212.2932,=-DS!AL128,29819.4763,1182.9754,0.0,1182.9754,0.0,5029.3178,24790.1585,6212.2932,6212.2932,1.0,0.0,1.0,SHL_Active,
AM,33,16,5090.7545,0.0,"=-SUM(DS!AM49:AM50,DS!AM84:AM85)",5090.7545,5090.7545,"=IF(AND(OR(AM$128<$B$99,AM$3=0,AM98<0,AM81<AM76,AM95<AM90),AM$3<=$B$10),0,AM98)",5090.7545,=AM99,-5090.7545,=-DS!AM128,24790.1585,999.7565,0.0,999.7565,0.0,4090.998,20699.1605,5090.7545,5090.7545,1.0,0.0,1.0,SHL_Active,
AN,34,17,6422.2824,0.0,"=-SUM(DS!AN49:AN50,DS!AN84:AN85)",6422.2824,6422.2824,"=IF(AND(OR(AN$128<$B$99,AN$3=0,AN98<0,AN81<AN76,AN95<AN90),AN$3<=$B$10),0,AN98)",6422.2824,=AN99,-6422.2824,=-DS!AN128,20699.1605,821.1612,0.0,821.1612,0.0,5601.1212,15098.0393,6422.2824,6422.2824,1.0,0.0,1.0,SHL_Active,
AO,35,17,5092.5183,0.0,"=-SUM(DS!AO49:AO50,DS!AO84:AO85)",5092.5183,5092.5183,"=IF(AND(OR(AO$128<$B$99,AO$3=0,AO98<0,AO81<AO76,AO95<AO90),AO$3<=$B$10),0,AO98)",5092.5183,=AO99,-5092.5183,=-DS!AO128,15098.0393,608.8853,0.0,608.8853,0.0,4483.633,10614.4064,5092.5183,5092.5183,1.0,0.0,1.0,SHL_Active,
AP,36,18,6585.9465,0.0,"=-SUM(DS!AP49:AP50,DS!AP84:AP85)",6585.9465,6585.9465,"=IF(AND(OR(AP$128<$B$99,AP$3=0,AP98<0,AP81<AP76,AP95<AP90),AP$3<=$B$10),0,AP98)",6585.9465,=AP99,-6585.9465,=-DS!AP128,10614.4064,421.0866,0.0,421.0866,0.0,6164.8599,4449.5465,6585.9465,6585.9465,1.0,0.0,1.0,SHL_Active,
AQ,37,18,5050.1749,0.0,"=-SUM(DS!AQ49:AQ50,DS!AQ84:AQ85)",5050.1749,5050.1749,"=IF(AND(OR(AQ$128<$B$99,AQ$3=0,AQ98<0,AQ81<AQ76,AQ95<AQ90),AQ$3<=$B$10),0,AQ98)",5050.1749,=AQ99,-4628.9912,=-DS!AQ128,4449.5465,179.4447,0.0,179.4447,0.0,4449.5465,0.0,4628.9912,4628.9912,1.0,0.0,1.0,SHL_Active,
AR,38,19,6765.0887,0.0,"=-SUM(DS!AR49:AR50,DS!AR84:AR85)",6765.0887,6765.0887,"=IF(AND(OR(AR$128<$B$99,AR$3=0,AR98<0,AR81<AR76,AR95<AR90),AR$3<=$B$10),0,AR98)",6765.0887,=AR99,0.0,=-DS!AR128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
AS,39,19,5028.1798,0.0,"=-SUM(DS!AS49:AS50,DS!AS84:AS85)",5028.1798,5028.1798,"=IF(AND(OR(AS$128<$B$99,AS$3=0,AS98<0,AS81<AS76,AS95<AS90),AS$3<=$B$10),0,AS98)",5028.1798,=AS99,0.0,=-DS!AS128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
AT,40,20,6911.8478,0.0,"=-SUM(DS!AT49:AT50,DS!AT84:AT85)",6911.8478,6911.8478,"=IF(AND(OR(AT$128<$B$99,AT$3=0,AT98<0,AT81<AT76,AT95<AT90),AT$3<=$B$10),0,AT98)",6911.8478,=AT99,0.0,=-DS!AT128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
AU,41,20,5155.0855,0.0,"=-SUM(DS!AU49:AU50,DS!AU84:AU85)",5155.0855,5155.0855,"=IF(AND(OR(AU$128<$B$99,AU$3=0,AU98<0,AU81<AU76,AU95<AU90),AU$3<=$B$10),0,AU98)",5155.0855,=AU99,0.0,=-DS!AU128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
AV,42,21,7037.2442,0.0,"=-SUM(DS!AV49:AV50,DS!AV84:AV85)",7037.2442,7037.2442,"=IF(AND(OR(AV$128<$B$99,AV$3=0,AV98<0,AV81<AV76,AV95<AV90),AV$3<=$B$10),0,AV98)",7037.2442,=AV99,0.0,=-DS!AV128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
AW,43,21,4599.4806,0.0,"=-SUM(DS!AW49:AW50,DS!AW84:AW85)",4599.4806,4599.4806,"=IF(AND(OR(AW$128<$B$99,AW$3=0,AW98<0,AW81<AW76,AW95<AW90),AW$3<=$B$10),0,AW98)",4599.4806,=AW99,0.0,=-DS!AW128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
AX,44,22,7202.2921,0.0,"=-SUM(DS!AX49:AX50,DS!AX84:AX85)",7202.2921,7202.2921,"=IF(AND(OR(AX$128<$B$99,AX$3=0,AX98<0,AX81<AX76,AX95<AX90),AX$3<=$B$10),0,AX98)",7202.2921,=AX99,0.0,=-DS!AX128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
AY,45,22,4707.3545,0.0,"=-SUM(DS!AY49:AY50,DS!AY84:AY85)",4707.3545,4707.3545,"=IF(AND(OR(AY$128<$B$99,AY$3=0,AY98<0,AY81<AY76,AY95<AY90),AY$3<=$B$10),0,AY98)",4707.3545,=AY99,0.0,=-DS!AY128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
AZ,46,23,7426.0323,0.0,"=-SUM(DS!AZ49:AZ50,DS!AZ84:AZ85)",7426.0323,7426.0323,"=IF(AND(OR(AZ$128<$B$99,AZ$3=0,AZ98<0,AZ81<AZ76,AZ95<AZ90),AZ$3<=$B$10),0,AZ98)",7426.0323,=AZ99,0.0,=-DS!AZ128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BA,47,23,4819.5766,0.0,"=-SUM(DS!BA49:BA50,DS!BA84:BA85)",4819.5766,4819.5766,"=IF(AND(OR(BA$128<$B$99,BA$3=0,BA98<0,BA81<BA76,BA95<BA90),BA$3<=$B$10),0,BA98)",4819.5766,=BA99,0.0,=-DS!BA128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BB,48,24,7552.4928,0.0,"=-SUM(DS!BB49:BB50,DS!BB84:BB85)",7552.4928,7552.4928,"=IF(AND(OR(BB$128<$B$99,BB$3=0,BB98<0,BB81<BB76,BB95<BB90),BB$3<=$B$10),0,BB98)",7552.4928,=BB99,0.0,=-DS!BB128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BC,49,24,4936.2426,0.0,"=-SUM(DS!BC49:BC50,DS!BC84:BC85)",4936.2426,4936.2426,"=IF(AND(OR(BC$128<$B$99,BC$3=0,BC98<0,BC81<BC76,BC95<BC90),BC$3<=$B$10),0,BC98)",4936.2426,=BC99,0.0,=-DS!BC128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BD,50,25,7701.5347,0.0,"=-SUM(DS!BD49:BD50,DS!BD84:BD85)",7701.5347,7701.5347,"=IF(AND(OR(BD$128<$B$99,BD$3=0,BD98<0,BD81<BD76,BD95<BD90),BD$3<=$B$10),0,BD98)",7701.5347,=BD99,0.0,=-DS!BD128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BE,51,25,5033.655,0.0,"=-SUM(DS!BE49:BE50,DS!BE84:BE85)",5033.655,5033.655,"=IF(AND(OR(BE$128<$B$99,BE$3=0,BE98<0,BE81<BE76,BE95<BE90),BE$3<=$B$10),0,BE98)",5033.655,=BE99,0.0,=-DS!BE128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BF,52,26,7870.6565,0.0,"=-SUM(DS!BF49:BF50,DS!BF84:BF85)",7870.6565,7870.6565,"=IF(AND(OR(BF$128<$B$99,BF$3=0,BF98<0,BF81<BF76,BF95<BF90),BF$3<=$B$10),0,BF98)",7870.6565,=BF99,0.0,=-DS!BF128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BG,53,26,5144.1915,0.0,"=-SUM(DS!BG49:BG50,DS!BG84:BG85)",5144.1915,5144.1915,"=IF(AND(OR(BG$128<$B$99,BG$3=0,BG98<0,BG81<BG76,BG95<BG90),BG$3<=$B$10),0,BG98)",5144.1915,=BG99,0.0,=-DS!BG128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BH,54,27,8037.5664,0.0,"=-SUM(DS!BH49:BH50,DS!BH84:BH85)",8037.5664,8037.5664,"=IF(AND(OR(BH$128<$B$99,BH$3=0,BH98<0,BH81<BH76,BH95<BH90),BH$3<=$B$10),0,BH98)",8037.5664,=BH99,0.0,=-DS!BH128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BI,55,27,5216.4689,0.0,"=-SUM(DS!BI49:BI50,DS!BI84:BI85)",5216.4689,5216.4689,"=IF(AND(OR(BI$128<$B$99,BI$3=0,BI98<0,BI81<BI76,BI95<BI90),BI$3<=$B$10),0,BI98)",5216.4689,=BI99,0.0,=-DS!BI128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BJ,56,28,8123.1532,0.0,"=-SUM(DS!BJ49:BJ50,DS!BJ84:BJ85)",8123.1532,8123.1532,"=IF(AND(OR(BJ$128<$B$99,BJ$3=0,BJ98<0,BJ81<BJ76,BJ95<BJ90),BJ$3<=$B$10),0,BJ98)",8123.1532,=BJ99,0.0,=-DS!BJ128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BK,57,28,5309.2211,0.0,"=-SUM(DS!BK49:BK50,DS!BK84:BK85)",5309.2211,5309.2211,"=IF(AND(OR(BK$128<$B$99,BK$3=0,BK98<0,BK81<BK76,BK95<BK90),BK$3<=$B$10),0,BK98)",5309.2211,=BK99,0.0,=-DS!BK128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BL,58,29,8221.405,0.0,"=-SUM(DS!BL49:BL50,DS!BL84:BL85)",8221.405,8221.405,"=IF(AND(OR(BL$128<$B$99,BL$3=0,BL98<0,BL81<BL76,BL95<BL90),BL$3<=$B$10),0,BL98)",8221.405,=BL99,0.0,=-DS!BL128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BM,59,29,5373.4377,0.0,"=-SUM(DS!BM49:BM50,DS!BM84:BM85)",5373.4377,5373.4377,"=IF(AND(OR(BM$128<$B$99,BM$3=0,BM98<0,BM81<BM76,BM95<BM90),BM$3<=$B$10),0,BM98)",5373.4377,=BM99,0.0,=-DS!BM128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BN,60,30,8264.4384,0.0,"=-SUM(DS!BN49:BN50,DS!BN84:BN85)",8264.4384,8264.4384,"=IF(AND(OR(BN$128<$B$99,BN$3=0,BN98<0,BN81<BN76,BN95<BN90),BN$3<=$B$10),0,BN98)",8264.4384,=BN99,0.0,=-DS!BN128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BO,61,30,5401.5639,0.0,"=-SUM(DS!BO49:BO50,DS!BO84:BO85)",5401.5639,5401.5639,"=IF(AND(OR(BO$128<$B$99,BO$3=0,BO98<0,BO81<BO76,BO95<BO90),BO$3<=$B$10),0,BO98)",5401.5639,=BO99,0.0,=-DS!BO128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,N/A,
BP,62,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,N/A,
BQ,63,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,N/A,
