category,metric,row_type,source,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,total,notes
Senior Debt,Senior Interest,Python,result.periods[i].interest_senior_keur,1246.6,1225.2,1202.3,1179.0,1154.1,1128.6,1101.8,1074.2,1044.9,1015.1,983.6,950.9,916.3,880.4,842.8,803.7,762.5,719.9,674.9,628.5,579.7,529.2,476.4,421.8,364.5,277.8,187.0,95.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22467.4,
Senior Debt,Senior Interest,Delta,result.periods[i].interest_senior_keur,-50.5,-68.4,-44.6,-61.2,-44.4,-54.3,-32.4,-47.2,-25.9,-39.2,-18.4,-31.5,-18.0,-24.4,-6.5,-15.8,1.4,-5.8,10.6,5.8,18.3,18.6,32.6,32.6,45.6,31.4,24.6,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.6,
Senior Debt,Senior Principal Repayment,Excel,result.periods[i].senior_principal_keur,819.3,857.8,897.8,940.0,946.4,985.6,1035.2,1083.8,1124.2,1177.1,1188.0,1243.8,1308.9,1363.0,1438.4,1506.0,1581.0,1655.3,1730.8,1812.1,1874.4,1952.0,2040.6,2136.5,2556.4,2676.5,2667.0,2760.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43358.5,
Senior Debt,Senior Principal Repayment,Python,result.periods[i].senior_principal_keur,742.5,796.9,809.6,866.2,887.0,934.9,958.0,1019.7,1034.8,1099.0,1136.4,1204.2,1248.4,1308.1,1357.8,1433.3,1483.1,1562.9,1614.1,1698.5,1757.8,1834.0,1899.7,1993.7,3015.2,3157.9,3179.0,3326.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43359.0,
Senior Debt,Senior Principal Repayment,Delta,result.periods[i].senior_principal_keur,-76.7,-60.9,-88.2,-73.8,-59.4,-50.7,-77.2,-64.1,-89.4,-78.0,-51.6,-39.6,-60.4,-54.9,-80.6,-72.7,-97.9,-92.3,-116.7,-113.6,-116.6,-118.0,-140.9,-142.7,458.8,481.4,512.0,565.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4034.5,
Senior Debt,Senior Closing Balance,Excel,result.periods[i].senior_balance_keur,-819.3,-1677.1,-2574.8,-3514.8,-4461.2,-5446.8,-6481.9,-7565.7,-8690.0,-9867.0,-11055.0,-12298.9,-13607.7,-14970.7,-16409.2,-17915.2,-19496.2,-21151.4,-22882.2,-24694.3,-26568.7,-28520.8,-30561.4,-32697.9,-35254.2,-37930.7,-40597.7,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-43358.5,-1888542.3,
Senior Debt,Senior Closing Balance,Python,result.periods[i].senior_balance_keur,42616.5,41819.6,41010.0,40143.8,39256.9,38322.0,37364.0,36344.3,35309.5,34210.5,33074.1,31869.8,30621.4,29313.2,27955.4,26522.1,25039.0,23476.1,21862.0,20163.5,18405.7,16571.7,14671.9,12678.2,9663.0,6505.1,3326.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738115.4,
Senior Debt,Senior Closing Balance,Delta,result.periods[i].senior_balance_keur,43435.7,43496.7,43584.9,43658.6,43718.1,43768.7,43845.9,43910.1,43999.5,44077.5,44129.1,44168.7,44229.1,44284.0,44364.6,44437.3,44535.2,44627.5,44744.2,44857.8,44974.4,45092.4,45233.3,45376.0,44917.2,44435.9,43923.9,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,43358.5,2626657.7,
SHL,SHL Gross Accrued Interest,Excel,result.periods[i].shl_gross_accrued_inte,3568.7,1297.4,1332.8,1325.4,1361.9,1362.2,1392.7,1386.1,1425.1,1418.6,1459.0,1452.8,1494.7,1497.1,1532.3,1526.7,1571.1,1565.3,1611.0,1605.3,1652.3,1655.7,1695.4,1690.1,1740.2,1734.9,1703.2,1617.3,1577.7,1527.9,1356.6,1183.0,999.8,821.2,608.9,421.1,179.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53350.9,SHL gross-accrued is candidate driver; treatment may differ from Excel
SHL,SHL Gross Accrued Interest,Python,result.periods[i].shl_gross_accrued_inte,1286.0,1307.4,1294.2,1323.7,1314.1,1336.7,1327.0,1357.3,1343.8,1374.6,1361.0,1391.9,1381.7,1405.1,1394.5,1425.5,1410.5,1441.5,1425.9,1456.8,1444.6,1467.4,1466.3,1497.6,1495.4,1520.2,1495.4,1520.2,1499.6,1329.1,1153.2,969.7,779.7,567.1,361.3,119.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46045.3,SHL gross-accrued is candidate driver; treatment may differ from Excel
SHL,SHL Gross Accrued Interest,Delta,result.periods[i].shl_gross_accrued_inte,-2282.6,10.0,-38.5,-1.7,-47.8,-25.5,-65.7,-28.8,-81.4,-44.0,-98.0,-60.9,-113.0,-92.0,-137.8,-101.1,-160.6,-123.9,-185.1,-148.5,-207.7,-188.3,-229.2,-192.5,-244.8,-214.6,-207.7,-97.1,-78.1,-198.7,-203.4,-213.3,-220.1,-254.0,-247.5,-302.0,-179.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7325.5,SHL gross-accrued is candidate driver; treatment may differ from Excel
SHL,SHL Closing Balance,Excel,result.periods[i].shl_balance_keur,32703.9,33047.5,33410.6,33769.1,34148.0,34533.9,34939.7,35338.2,35759.5,36178.3,36621.0,37063.7,37531.6,37995.3,38482.7,38956.8,39457.9,39947.3,40464.4,40970.8,41506.0,42040.7,42602.9,43151.2,43730.7,42231.9,40768.0,39120.1,38302.2,33638.2,29819.5,24790.2,20699.2,15098.0,10614.4,4449.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1243882.6,
SHL,SHL Closing Balance,Python,result.periods[i].shl_balance_keur,32703.7,32912.0,33112.8,33324.9,33529.7,33744.9,33952.4,34171.6,34385.1,34610.6,34819.4,35040.0,35245.2,35460.9,35659.3,35869.0,36059.0,36259.8,36441.6,36633.6,36807.8,37287.1,37461.9,38028.0,38028.0,38028.0,38028.0,38028.0,33339.7,29325.9,24257.3,19826.7,14186.9,9189.0,2980.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1128738.0,
SHL,SHL Closing Balance,Delta,result.periods[i].shl_balance_keur,-0.2,-135.4,-297.8,-444.2,-618.3,-789.0,-987.3,-1166.6,-1374.4,-1567.8,-1801.6,-2023.7,-2286.3,-2534.4,-2823.4,-3087.8,-3398.9,-3687.4,-4022.9,-4337.2,-4698.2,-4753.6,-5140.9,-5123.2,-5702.7,-4203.9,-2740.0,-1092.1,-4962.4,-4312.4,-5562.2,-4963.4,-6512.2,-5909.0,-7634.3,-4449.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115144.6,
SHL,SHL PIK / Capitalised Interest,Excel,result.periods[i].shl_pik_keur,0.0,953.8,969.6,967.0,983.0,976.2,987.0,987.5,1003.9,999.8,1016.4,1010.1,1026.8,1033.5,1044.8,1052.6,1070.0,1076.0,1093.8,1098.9,1117.1,1121.0,1133.3,1141.8,1160.7,1734.9,1703.2,1617.3,1577.7,1527.9,1356.6,1183.0,999.8,821.2,608.9,421.1,179.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38755.3,
SHL,SHL PIK / Capitalised Interest,Python,result.periods[i].shl_pik_keur,0.0,208.4,200.8,212.1,204.8,215.2,207.5,219.2,213.4,225.5,208.8,220.6,205.2,215.7,198.4,209.7,190.0,200.8,181.8,192.0,174.1,479.3,174.8,566.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5324.3,
SHL,SHL PIK / Capitalised Interest,Delta,result.periods[i].shl_pik_keur,0.0,-745.5,-768.9,-754.8,-778.2,-761.0,-779.4,-768.3,-790.5,-774.3,-807.6,-789.5,-821.6,-817.8,-846.4,-842.9,-880.0,-875.2,-912.1,-906.9,-943.0,-641.6,-958.5,-575.7,-1160.7,-1734.9,-1703.2,-1617.3,-1577.7,-1527.9,-1356.6,-1183.0,-999.8,-821.2,-608.9,-421.1,-179.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33431.0,
CIT / Tax,Taxable Income / R35 (Python flag-on),Excel,result.periods[i].taxable_income_before_,-1369.7,-1381.4,-1306.1,-1314.9,-1290.1,-1291.1,-1208.8,-1675.9,-1600.2,-1626.3,-1592.9,-1618.9,-1519.6,-1533.9,-1405.7,-1423.5,-1293.7,-1306.5,-1178.1,-1185.8,-1099.5,-1097.7,-955.4,-953.4,2298.7,2475.0,2558.5,2748.4,2902.6,3122.6,3272.9,3529.9,3844.7,4134.3,4408.4,4730.1,5003.8,5058.7,5155.4,5240.8,7037.2,7153.9,7202.3,7321.7,7426.0,7507.6,7552.5,7677.7,7701.5,7829.2,7870.7,8001.1,8037.6,8125.9,8123.2,8257.8,8221.4,8357.7,8264.4,8401.4,184326.3,Python R35 uses flag-on tax bridge; Excel may differ in construction-period trea
CIT / Tax,Taxable Income / R35 (Python flag-on),Python,result.periods[i].taxable_income_before_,487.9,524.7,539.2,577.6,595.8,625.3,653.0,231.8,248.0,266.0,304.7,323.6,375.3,388.4,464.2,487.3,559.9,585.7,657.5,685.8,745.6,767.9,860.5,893.7,4002.6,4222.7,4272.7,4505.2,4621.6,4860.9,5000.4,5286.8,5560.0,5878.6,6110.8,6461.4,6697.5,6771.5,6830.3,6944.1,6980.2,7096.6,7129.8,7248.6,7337.2,7418.3,7446.8,7570.9,7578.1,7704.3,7766.4,7895.7,7913.4,8000.8,7978.7,8111.6,8055.4,8189.5,8075.7,8210.2,254584.7,Python R35 uses flag-on tax bridge; Excel may differ in construction-period trea
