excel_col,period_index,operating_period_index,cf_r69_actual_cfads_keur,macro_r49_cfads_keur,macro_r49_formula,macro_r50_sizing_cfads_keur,macro_r50_is_hardcoded,cf_r69_minus_r50_delta_keur,ds_r19_target_dscr,ds_r20_debt_service_capacity_keur,ds_r20_formula,classification,notes
AD,24,12,3626.2541,3626.2541,=CF!AD69,2981.3591,True,644.895,1.2,2484.4659,=(AD17/AD19+SUM(CF!AD73:AD73))*AD9*$B20,PPA/Contracted,
AE,25,12,3686.3577,3686.3577,=CF!AE69,3030.7739,True,655.5838,1.2,2525.6449,=(AE17/AE19+SUM(CF!AE73:AE73))*AE9*$B20,PPA/Contracted,
AF,26,13,6108.9358,6108.9358,=CF!AF69,4061.1818,True,2047.7539,1.4124,2875.303,=(AF17/AF19+SUM(CF!AF73:AF73))*AF9*$B20,Merchant,
AG,27,13,6089.9998,6089.9998,=CF!AG69,4128.4942,True,1961.5056,1.4124,2922.96,=(AG17/AG19+SUM(CF!AG73:AG73))*AG9*$B20,Merchant,
AH,28,14,6094.5967,6094.5967,=CF!AH69,3996.774,True,2097.8227,1.4126,2829.3325,=(AH17/AH19+SUM(CF!AH73:AH73))*AH9*$B20,Merchant,
AI,29,14,5240.3745,5240.3745,=CF!AI69,4063.0189,True,1177.3557,1.4126,2844.7933,=(AI17/AI19+SUM(CF!AI73:AI73))*AI9*$B20,Merchant,
AJ,30,15,6191.8378,6191.8378,=CF!AJ69,3934.3934,True,2257.4444,1.4127,0.0,=(AJ17/AJ19+SUM(CF!AJ73:AJ73))*AJ9*$B20,Merchant,
AK,31,15,5175.3396,5175.3396,=CF!AK69,3977.6285,True,1197.7112,1.4127,0.0,=(AK17/AK19+SUM(CF!AK73:AK73))*AK9*$B20,Merchant,
AL,32,16,6212.2932,6212.2932,=CF!AL69,3747.6088,True,2464.6843,1.4127,0.0,=(AL17/AL19+SUM(CF!AL73:AL73))*AL9*$B20,Merchant,
AM,33,16,5090.7545,5090.7545,=CF!AM69,3809.7239,True,1281.0306,1.4127,0.0,=(AM17/AM19+SUM(CF!AM73:AM73))*AM9*$B20,Merchant,
AN,34,17,6422.2824,6422.2824,=CF!AN69,3619.9149,True,2802.3676,1.4125,0.0,=(AN17/AN19+SUM(CF!AN73:AN73))*AN9*$B20,Merchant,
AO,35,17,5092.5183,5092.5183,=CF!AO69,3679.9135,True,1412.6048,1.4125,0.0,=(AO17/AO19+SUM(CF!AO73:AO73))*AO9*$B20,Merchant,
AP,36,18,6585.9465,6585.9465,=CF!AP69,3720.058,True,2865.8884,1.4123,0.0,=(AP17/AP19+SUM(CF!AP73:AP73))*AP9*$B20,Merchant,
AQ,37,18,5050.1749,5050.1749,=CF!AQ69,3781.7165,True,1268.4584,1.4123,0.0,=(AQ17/AQ19+SUM(CF!AQ73:AQ73))*AQ9*$B20,Merchant,
AR,38,19,6765.0887,6765.0887,=CF!AR69,3828.2668,True,2936.8219,1.4122,0.0,=(AR17/AR19+SUM(CF!AR73:AR73))*AR9*$B20,Merchant,
AS,39,19,5028.1798,5028.1798,=CF!AS69,3870.3357,True,1157.8441,1.4122,0.0,=(AS17/AS19+SUM(CF!AS73:AS73))*AS9*$B20,Merchant,
AT,40,20,6911.8478,6911.8478,=CF!AT69,3918.5397,True,2993.3081,1.412,0.0,=(AT17/AT19+SUM(CF!AT73:AT73))*AT9*$B20,Merchant,
AU,41,20,5155.0855,5155.0855,=CF!AU69,3983.4878,True,1171.5976,1.412,0.0,=(AU17/AU19+SUM(CF!AU73:AU73))*AU9*$B20,Merchant,
AV,42,21,7037.2442,7037.2442,=CF!AV69,3977.4859,True,3059.7583,1.4119,0.0,=(AV17/AV19+SUM(CF!AV73:AV73))*AV9*$B20,Merchant,
AW,43,21,4599.4806,4599.4806,=CF!AW69,4043.4111,True,556.0695,1.4119,0.0,=(AW17/AW19+SUM(CF!AW73:AW73))*AW9*$B20,Merchant,
AX,44,22,7202.2921,7202.2921,=CF!AX69,4078.0839,True,3124.2083,1.4117,0.0,=(AX17/AX19+SUM(CF!AX73:AX73))*AX9*$B20,Merchant,
AY,45,22,4707.3545,4707.3545,=CF!AY69,3489.4209,True,1217.9335,1.4117,0.0,=(AY17/AY19+SUM(CF!AY73:AY73))*AY9*$B20,Merchant,
AZ,46,23,7426.0323,7426.0323,=CF!AZ69,4174.3321,True,3251.7001,1.4115,0.0,=(AZ17/AZ19+SUM(CF!AZ73:AZ73))*AZ9*$B20,Merchant,
BA,47,23,4819.5766,4819.5766,=CF!BA69,3445.8309,True,1373.7456,1.4115,0.0,=(BA17/BA19+SUM(CF!BA73:BA73))*BA9*$B20,Merchant,
BB,48,24,7552.4928,7552.4928,=CF!BB69,4208.7184,True,3343.7745,1.4113,0.0,=(BB17/BB19+SUM(CF!BB73:BB73))*BB9*$B20,Merchant,
BC,49,24,4936.2426,4936.2426,=CF!BC69,3433.2231,True,1503.0195,1.4113,0.0,=(BC17/BC19+SUM(CF!BC73:BC73))*BC9*$B20,Merchant,
BD,50,25,7701.5347,7701.5347,=CF!BD69,4255.9703,True,3445.5645,1.4111,0.0,=(BD17/BD19+SUM(CF!BD73:BD73))*BD9*$B20,Merchant,
BE,51,25,5033.655,5033.655,=CF!BE69,3407.206,True,1626.449,1.4111,0.0,=(BE17/BE19+SUM(CF!BE73:BE73))*BE9*$B20,Merchant,
BF,52,26,7870.6565,7870.6565,=CF!BF69,4300.0447,True,3570.6119,1.4109,0.0,=(BF17/BF19+SUM(CF!BF73:BF73))*BF9*$B20,Merchant,
BG,53,26,5144.1915,5144.1915,=CF!BG69,3374.1803,True,1770.0113,1.4109,0.0,=(BG17/BG19+SUM(CF!BG73:BG73))*BG9*$B20,Merchant,
BH,54,27,8037.5664,8037.5664,=CF!BH69,4351.712,True,3685.8544,1.4107,0.0,=(BH17/BH19+SUM(CF!BH73:BH73))*BH9*$B20,Merchant,
BI,55,27,5216.4689,5216.4689,=CF!BI69,3322.3986,True,1894.0703,1.4107,0.0,=(BI17/BI19+SUM(CF!BI73:BI73))*BI9*$B20,Merchant,
BJ,56,28,8123.1532,8123.1532,=CF!BJ69,4396.9322,True,3726.221,1.4106,0.0,=(BJ17/BJ19+SUM(CF!BJ73:BJ73))*BJ9*$B20,Merchant,
BK,57,28,5309.2211,5309.2211,=CF!BK69,3298.0084,True,2011.2127,1.4106,0.0,=(BK17/BK19+SUM(CF!BK73:BK73))*BK9*$B20,Merchant,
BL,58,29,8221.405,8221.405,=CF!BL69,4447.2643,True,3774.1408,1.4105,0.0,=(BL17/BL19+SUM(CF!BL73:BL73))*BL9*$B20,Merchant,
BM,59,29,5373.4377,5373.4377,=CF!BM69,3252.1327,True,2121.3049,1.4105,0.0,=(BM17/BM19+SUM(CF!BM73:BM73))*BM9*$B20,Merchant,
BN,60,30,8264.4384,8264.4384,=CF!BN69,4463.4203,True,3801.0181,1.4105,0.0,=(BN17/BN19+SUM(CF!BN73:BN73))*BN9*$B20,Merchant,
BO,61,30,5401.5639,5401.5639,=CF!BO69,3177.6748,True,2223.8891,1.4105,0.0,=(BO17/BO19+SUM(CF!BO73:BO73))*BO9*$B20,Merchant,
BP,62,,0.0,0.0,=CF!BP69,0.0,True,0.0,1.2,0.0,=(BP17/BP19+SUM(CF!BP73:BP73))*BP9*$B20,PPA/Contracted,
BQ,63,,0.0,0.0,=CF!BQ69,0.0,True,0.0,1.2,0.0,=(BQ17/BQ19+SUM(CF!BQ73:BQ73))*BQ9*$B20,PPA/Contracted,
