period,date,excel_cashflow_keur,model_shl_plus_dividends_cashflow_keur,delta_keur,model_distribution_keur,model_shl_interest_keur,model_shl_principal_keur,likely_driver,notes
42,2051-01-01,4614.28,0,4614.28,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
43,2051-07-01,7188.08,0,7188.08,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
44,2052-01-01,4722.57,0,4722.57,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
45,2052-07-01,7411.42,0,7411.42,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
46,2053-01-01,4835.11,0,4835.11,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
47,2053-07-01,7537.59,0,7537.59,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
48,2054-01-01,4951.97,0,4951.97,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
49,2054-07-01,7686.34,0,7686.34,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
50,2055-01-01,5049.78,0,5049.78,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
51,2055-07-01,7855.13,0,7855.13,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
52,2056-01-01,5160.4,0,5160.4,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
53,2056-07-01,8021.75,0,8021.75,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
54,2057-01-01,5233.0,0,5233.0,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
55,2057-07-01,8107.13,0,8107.13,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
56,2058-01-01,5325.79,0,5325.79,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
57,2058-07-01,8205.19,0,8205.19,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
58,2059-01-01,5389.89,0,5389.89,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
59,2059-07-01,8248.13,0,8248.13,0,0,0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
60,2060-01-01,5372.21,56.12,5316.08,56.12,0.0,0.0,investment_base_carryforward,inv_base diff=3569 affects all subsequent CFs
61,2060-07-01,0,0,0,0,0,0,match,within tolerance
62,2061-01-01,0,0,0,0,0,0,match,within tolerance
63,2061-07-01,0,0,0,0,0,0,match,within tolerance
64,2062-01-01,0,0,0,0,0,0,match,within tolerance
65,2062-07-01,0,0,0,0,0,0,match,within tolerance
66,2063-01-01,0,0,0,0,0,0,match,within tolerance
67,2063-07-01,0,0,0,0,0,0,match,within tolerance
68,2064-01-01,0,0,0,0,0,0,match,within tolerance
69,2064-07-01,0,0,0,0,0,0,match,within tolerance
70,2065-01-01,0,0,0,0,0,0,match,within tolerance
71,2065-07-01,0,0,0,0,0,0,match,within tolerance
72,2066-01-01,0,0,0,0,0,0,match,within tolerance
73,2066-07-01,0,0,0,0,0,0,match,within tolerance
74,2067-01-01,0,0,0,0,0,0,match,within tolerance
75,2067-07-01,0,0,0,0,0,0,match,within tolerance
76,2068-01-01,0,0,0,0,0,0,match,within tolerance
77,2068-07-01,0,0,0,0,0,0,match,within tolerance
78,2069-01-01,0,0,0,0,0,0,match,within tolerance
79,2069-07-01,0,0,0,0,0,0,match,within tolerance
80,2070-01-01,0,0,0,0,0,0,match,within tolerance
81,2070-07-01,0,0,0,0,0,0,match,within tolerance
82,2071-01-01,0,0,0,0,0,0,match,within tolerance
83,2071-07-01,0,0,0,0,0,0,match,within tolerance
84,2072-01-01,0,0,0,0,0,0,match,within tolerance
85,2072-07-01,0,0,0,0,0,0,match,within tolerance
86,2073-01-01,0,0,0,0,0,0,match,within tolerance
87,2073-07-01,0,0,0,0,0,0,match,within tolerance
88,2074-01-01,0,0,0,0,0,0,match,within tolerance
89,2074-07-01,0,0,0,0,0,0,match,within tolerance
90,2075-01-01,0,0,0,0,0,0,match,within tolerance
91,2075-07-01,0,0,0,0,0,0,match,within tolerance
92,2076-01-01,0,0,0,0,0,0,match,within tolerance
93,2076-07-01,0,0,0,0,0,0,match,within tolerance
94,2077-01-01,0,0,0,0,0,0,match,within tolerance
95,2077-07-01,0,0,0,0,0,0,match,within tolerance
96,2078-01-01,0,0,0,0,0,0,match,within tolerance
97,2078-07-01,0,0,0,0,0,0,match,within tolerance
98,2079-01-01,0,0,0,0,0,0,match,within tolerance
99,2079-07-01,0,0,0,0,0,0,match,within tolerance
100,2080-01-01,0,0,0,0,0,0,match,within tolerance
101,2080-07-01,0,0,0,0,0,0,match,within tolerance
102,2081-01-01,0,0,0,0,0,0,match,within tolerance
103,2081-07-01,0,0,0,0,0,0,match,within tolerance
104,2082-01-01,0,0,0,0,0,0,match,within tolerance
105,2082-07-01,0,0,0,0,0,0,match,within tolerance
106,2083-01-01,0,0,0,0,0,0,match,within tolerance
107,2083-07-01,0,0,0,0,0,0,match,within tolerance
108,2084-01-01,0,0,0,0,0,0,match,within tolerance
109,2084-07-01,0,0,0,0,0,0,match,within tolerance
110,2085-01-01,0,0,0,0,0,0,match,within tolerance
111,2085-07-01,0,0,0,0,0,0,match,within tolerance
112,2086-01-01,0,0,0,0,0,0,match,within tolerance
113,2086-07-01,0,0,0,0,0,0,match,within tolerance
114,2087-01-01,0,0,0,0,0,0,match,within tolerance
115,2087-07-01,0,0,0,0,0,0,match,within tolerance
116,2088-01-01,0,0,0,0,0,0,match,within tolerance
117,2088-07-01,0,0,0,0,0,0,match,within tolerance
118,2089-01-01,0,0,0,0,0,0,match,within tolerance
119,2089-07-01,0,0,0,0,0,0,match,within tolerance
120,2090-01-01,0,0,0,0,0,0,match,within tolerance
