period,date,opening_shl_balance_keur,available_cash_pre_shl_keur,senior_debt_service_keur,dscr,lockup_active,shl_interest_keur,shl_principal_keur,repayment_allowed,repayment_trigger_reason,repayment_blocker,distribution_keur,notes
25,2042-06-30,38028.01,2760.621,3379.664,1.816833,False,1495.418,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,key timing period: Excel first principal
26,2042-12-31,38028.01,1946.63,3435.68,1.566592,False,1520.204,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
27,2043-06-30,38028.01,2749.458,3365.998,1.816833,False,1495.418,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
28,2043-12-31,38028.01,1907.033,3421.788,1.55732,False,1520.204,0.0,False,available post-senior cash is used for cash interest or PIK phase; no principal sweep condition is active,cash does not exceed full annual SHL interest threshold or senior debt remains outstanding,0.0,
29,2044-06-30,38028.01,6187.846,0,inf,False,1499.571,4688.274,True,pik_then_sweep sweep phase: senior debt service is zero and available cash exceeds full annual SHL interest threshold; residual is swept to principal,none in current runtime,0,key timing period: model first principal
30,2044-12-31,33339.736,5343.025,0,inf,False,1329.144,4013.881,True,pik_then_sweep sweep phase: senior debt service is zero and available cash exceeds full annual SHL interest threshold; residual is swept to principal,none in current runtime,0,
31,2045-06-30,29325.854,6221.789,0,inf,False,1153.213,5068.576,True,pik_then_sweep sweep phase: senior debt service is zero and available cash exceeds full annual SHL interest threshold; residual is swept to principal,none in current runtime,0,
32,2045-12-31,24257.278,5400.246,0,inf,False,969.706,4430.54,True,pik_then_sweep sweep phase: senior debt service is zero and available cash exceeds full annual SHL interest threshold; residual is swept to principal,none in current runtime,0,
33,2046-06-30,19826.738,6419.486,0,inf,False,779.669,5639.817,True,pik_then_sweep sweep phase: senior debt service is zero and available cash exceeds full annual SHL interest threshold; residual is swept to principal,none in current runtime,0,
34,2046-12-31,14186.921,5565.044,0,inf,False,567.135,4997.91,True,pik_then_sweep sweep phase: senior debt service is zero and available cash exceeds full annual SHL interest threshold; residual is swept to principal,none in current runtime,0,
35,2047-06-30,9189.011,6570.289,0,inf,False,361.35,6208.939,True,pik_then_sweep sweep phase: senior debt service is zero and available cash exceeds full annual SHL interest threshold; residual is swept to principal,none in current runtime,0,
36,2047-12-31,2980.072,5690.752,0,inf,False,119.131,2980.072,True,pik_then_sweep sweep phase: senior debt service is zero and available cash exceeds full annual SHL interest threshold; residual is swept to principal,none in current runtime,5571.621,
37,2048-06-30,0.0,6735.89,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,6735.89,
38,2048-12-31,0.0,5797.36,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,5797.36,
39,2049-06-30,0.0,6868.638,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,6868.638,
40,2049-12-31,0.0,5939.454,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,5939.454,
41,2050-06-30,0.0,7018.6,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,7018.6,
42,2050-12-31,0.0,6064.461,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,6064.461,
43,2051-06-30,0.0,7168.188,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,7168.188,
44,2051-12-31,0.0,6189.156,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,6189.156,
45,2052-06-30,0.0,7375.587,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,7375.587,
46,2052-12-31,0.0,6327.676,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,6327.676,
47,2053-06-30,0.0,7485.205,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,7485.205,
48,2053-12-31,0.0,6453.418,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,6453.418,
49,2054-06-30,0.0,7616.439,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,7616.439,
50,2054-12-31,0.0,6562.814,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,6562.814,
51,2055-06-30,0.0,7804.73,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,7804.73,
52,2055-12-31,0.0,6719.771,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,6719.771,
53,2056-06-30,0.0,7951.806,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,7951.806,
54,2056-12-31,0.0,6805.368,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,6805.368,
55,2057-06-30,0.0,8017.064,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,8017.064,
56,2057-12-31,0.0,6896.772,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,6896.772,
57,2058-06-30,0.0,8093.727,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,8093.727,
58,2058-12-31,0.0,6960.677,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,6960.677,
59,2059-06-30,0.0,8114.09,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,8114.09,
60,2059-12-31,0.0,6977.651,0,inf,False,0.0,0.0,False,available cash exceeds annual-interest threshold but principal remains blocked before sweep because senior debt balance is still outstanding,senior debt still outstanding / pik_then_sweep not in sweep phase,6977.651,
