category,metric,row_type,period_idx,period_label,excel_value,python_value,delta,delta_pct,excel_source,python_source,confidence,notes
Revenue,Electricity Revenue,Delta,9,Y05H2,4363.8,4363.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,10,Y06H1,4379.3,4379.3,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,10,Y06H1,4379.3,4379.3,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,10,Y06H1,4379.3,4379.3,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,11,Y06H2,4451.8,4451.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,11,Y06H2,4451.8,4451.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,11,Y06H2,4451.8,4451.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,12,Y07H1,4476.6,4476.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,12,Y07H1,4476.6,4476.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,12,Y07H1,4476.6,4476.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,13,Y07H2,4525.8,4525.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,13,Y07H2,4525.8,4525.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,13,Y07H2,4525.8,4525.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,14,Y08H1,4554.6,4554.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,14,Y08H1,4554.6,4554.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,14,Y08H1,4554.6,4554.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,15,Y08H2,4630.1,4630.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,15,Y08H2,4630.1,4630.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,15,Y08H2,4630.1,4630.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,16,Y09H1,4650.6,4650.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,16,Y09H1,4650.6,4650.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,16,Y09H1,4650.6,4650.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,17,Y09H2,4727.7,4727.7,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,17,Y09H2,4727.7,4727.7,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,17,Y09H2,4727.7,4727.7,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,18,Y10H1,4745.0,4745.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,18,Y10H1,4745.0,4745.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,18,Y10H1,4745.0,4745.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,19,Y10H2,4823.6,4823.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,19,Y10H2,4823.6,4823.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,19,Y10H2,4823.6,4823.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,20,Y11H1,4851.2,4851.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,20,Y11H1,4851.2,4851.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,20,Y11H1,4851.2,4851.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,21,Y11H2,4904.5,4904.5,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,21,Y11H2,4904.5,4904.5,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,21,Y11H2,4904.5,4904.5,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,22,Y12H1,4936.3,4936.3,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,22,Y12H1,4936.3,4936.3,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,22,Y12H1,4936.3,4936.3,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,23,Y12H2,5018.1,5018.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,23,Y12H2,5018.1,5018.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,23,Y12H2,5018.1,5018.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,24,Y13H1,7438.6,7438.6,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,24,Y13H1,7438.6,7438.6,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,24,Y13H1,7438.6,7438.6,-0.0,-0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,25,Y13H2,7561.9,7561.9,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,25,Y13H2,7561.9,7561.9,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,25,Y13H2,7561.9,7561.9,-0.0,-0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,26,Y14H1,7444.2,7444.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,26,Y14H1,7444.2,7444.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,26,Y14H1,7444.2,7444.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,27,Y14H2,7567.6,7567.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,27,Y14H2,7567.6,7567.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,27,Y14H2,7567.6,7567.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,28,Y15H1,7551.8,7551.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,28,Y15H1,7551.8,7551.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,28,Y15H1,7551.8,7551.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,29,Y15H2,7634.7,7634.7,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,29,Y15H2,7634.7,7634.7,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,29,Y15H2,7634.7,7634.7,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,30,Y16H1,7614.2,7614.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,30,Y16H1,7614.2,7614.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,30,Y16H1,7614.2,7614.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,31,Y16H2,7740.4,7740.4,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,31,Y16H2,7740.4,7740.4,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,31,Y16H2,7740.4,7740.4,-0.0,-0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,32,Y17H1,7845.1,7845.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,32,Y17H1,7845.1,7845.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,32,Y17H1,7845.1,7845.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,33,Y17H2,7975.1,7975.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,33,Y17H2,7975.1,7975.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,33,Y17H2,7975.1,7975.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,34,Y18H1,8030.1,8030.1,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,34,Y18H1,8030.1,8030.1,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,34,Y18H1,8030.1,8030.1,-0.0,-0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,35,Y18H2,8163.2,8163.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,35,Y18H2,8163.2,8163.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,35,Y18H2,8163.2,8163.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,36,Y19H1,8235.1,8235.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,36,Y19H1,8235.1,8235.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,36,Y19H1,8235.1,8235.1,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,37,Y19H2,8325.6,8325.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,37,Y19H2,8325.6,8325.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,37,Y19H2,8325.6,8325.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,38,Y20H1,8400.0,8400.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,38,Y20H1,8400.0,8400.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,38,Y20H1,8400.0,8400.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,39,Y20H2,8539.2,8539.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,39,Y20H2,8539.2,8539.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,39,Y20H2,8539.2,8539.2,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,40,Y21H1,8587.4,8587.4,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,40,Y21H1,8587.4,8587.4,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,40,Y21H1,8587.4,8587.4,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,41,Y21H2,8729.7,8729.7,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,41,Y21H2,8729.7,8729.7,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,41,Y21H2,8729.7,8729.7,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,42,Y22H1,8775.6,8775.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,42,Y22H1,8775.6,8775.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,42,Y22H1,8775.6,8775.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,43,Y22H2,8921.0,8921.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,43,Y22H2,8921.0,8921.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,43,Y22H2,8921.0,8921.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,44,Y23H1,9027.3,9027.3,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,44,Y23H1,9027.3,9027.3,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,44,Y23H1,9027.3,9027.3,-0.0,-0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,45,Y23H2,9126.5,9126.5,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,45,Y23H2,9126.5,9126.5,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,45,Y23H2,9126.5,9126.5,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,46,Y24H1,9173.4,9173.4,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,46,Y24H1,9173.4,9173.4,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,46,Y24H1,9173.4,9173.4,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,47,Y24H2,9325.4,9325.4,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,47,Y24H2,9325.4,9325.4,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,47,Y24H2,9325.4,9325.4,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,48,Y25H1,9346.9,9346.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,48,Y25H1,9346.9,9346.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,48,Y25H1,9346.9,9346.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,49,Y25H2,9501.9,9501.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,49,Y25H2,9501.9,9501.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,49,Y25H2,9501.9,9501.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,50,Y26H1,9578.9,9578.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,50,Y26H1,9578.9,9578.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,50,Y26H1,9578.9,9578.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,51,Y26H2,9737.7,9737.7,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,51,Y26H2,9737.7,9737.7,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,51,Y26H2,9737.7,9737.7,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,52,Y27H1,9776.2,9776.2,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,52,Y27H1,9776.2,9776.2,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,52,Y27H1,9776.2,9776.2,-0.0,-0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,53,Y27H2,9883.6,9883.6,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,53,Y27H2,9883.6,9883.6,-0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,53,Y27H2,9883.6,9883.6,-0.0,-0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,54,Y28H1,9883.0,9883.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,54,Y28H1,9883.0,9883.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,54,Y28H1,9883.0,9883.0,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,55,Y28H2,10046.8,10046.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,55,Y28H2,10046.8,10046.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,55,Y28H2,10046.8,10046.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,56,Y29H1,10007.8,10007.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,56,Y29H1,10007.8,10007.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,56,Y29H1,10007.8,10007.8,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,57,Y29H2,10173.6,10173.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,57,Y29H2,10173.6,10173.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,57,Y29H2,10173.6,10173.6,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,58,Y30H1,10077.9,10077.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,58,Y30H1,10077.9,10077.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,58,Y30H1,10077.9,10077.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Excel,59,Y30H2,10244.9,10244.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Python,59,Y30H2,10244.9,10244.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
Revenue,Electricity Revenue,Delta,59,Y30H2,10244.9,10244.9,0.0,0.0000,P&L!total_revenues_keur,result.periods[i].revenue_keur,exact,
OPEX,Total OPEX,Excel,0,Y01H1,990.8,990.8,-0.0,0.0000,CF!operating_expenses_after_bank_tax_keur,result.periods[i].opex_keur,exact,
OPEX,Total OPEX,Python,0,Y01H1,990.8,990.8,-0.0,0.0000,CF!operating_expenses_after_bank_tax_keur,result.periods[i].opex_keur,exact,
OPEX,Total OPEX,Delta,0,Y01H1,990.8,990.8,-0.0,-0.0000,CF!operating_expenses_after_bank_tax_keur,result.periods[i].opex_keur,exact,
