period,date,excel_production_mwh,model_production_mwh,excel_revenue_keur,model_revenue_keur,excel_opex_keur,model_opex_keur,excel_ebitda_keur,model_ebitda_keur,excel_senior_opening_keur,model_senior_opening_keur,excel_senior_interest_keur,model_senior_interest_keur,excel_senior_principal_keur,model_senior_principal_keur,excel_senior_closing_keur,model_senior_closing_keur,excel_shl_opening_keur,model_shl_opening_keur,excel_shl_interest_keur,model_shl_interest_keur,excel_shl_pik_keur,model_shl_pik_keur,excel_shl_principal_keur,model_shl_principal_keur,excel_shl_closing_keur,model_shl_closing_keur,excel_distribution_keur,model_distribution_keur,excel_dscr,model_dscr,lockup
26,2042-07-01,73468.93150684932,0,7561.863244273974,0,1351.674402179372,0,6210.188842094602,0,8104.291307799278,0,246.4605034382958,0,2676.49946596757,0,5427.791841831708,0,3232.9795484743763,0,1734.522233300075,0,0,0,1498.4573151743011,0,1734.5222333000752,0,0,0,1.4124361191535666,0,False
27,2043-01-01,72271.06849315068,0,7444.223593282191,0,1349.6268706548512,0,6094.596722627341,0,5427.791841831708,0,162.37390066835158,0,2666.9585579065447,0,2760.833283925163,0,3167.8677963500813,0,1702.8402844844902,0,0,0,1465.0275118655911,0,1702.8402844844902,0,0,0,1.4126208445869197,0,False
28,2043-07-01,73468.93150684932,0,7567.608514717808,0,1371.996376798302,0,6195.612137919506,0,2760.833283925163,0,83.96000775670188,0,2760.833283925162,0,0,0,3260.2435932693506,0,1616.9571365999716,0,0,0,1643.2864566693788,0,1616.9571365999718,0,0,0,1.4126208445869197,0,False
29,2044-01-01,72471.80327868853,0,7551.750328327869,0,1359.9125344202232,0,6191.837793907645,0,0,0,0,0,0,0,0,0,2416.582865637093,0,1577.4858143013812,0,0,0,839.0970513357117,0,1577.4858143013814,0,0,0,1.4126676301742949,0,False
30,2044-07-01,73268.19672131147,0,7634.7365956721305,0,1374.8566282050606,0,6259.87996746707,0,0,0,0,0,0,0,0,0,6185.9435530255305,0,1526.8673031511364,0,0,0,4659.076249874394,0,1526.8673031511362,0,0,0,1.4126676301742949,0,False
31,2045-01-01,72271.06849315068,0,7614.190692164383,0,1401.897537544876,0,6212.293154619507,0,0,0,0,0,0,0,0,0,5181.534860887867,0,1355.751263633401,0,0,0,3825.783597254466,0,1355.7512636334009,0,0,0,1.4127187820342457,0,False
32,2045-07-01,73468.93150684932,0,7740.392747835617,0,1425.133408332913,0,6315.259339502704,0,0,0,0,0,0,0,0,0,6205.638237059382,0,1181.873071442877,0,0,0,5023.765165616505,0,1181.8730714428766,0,0,0,1.4127187820342457,0,False
33,2046-01-01,72271.06849315068,0,7845.1112102136985,0,1422.8287836382392,0,6422.28242657546,0,0,0,0,0,0,0,0,0,5098.569587723382,0,998.859872429399,0,0,0,4099.709715293983,0,998.8598724293988,0,0,0,1.4125286500748033,0,False
34,2046-07-01,73468.93150684932,0,7975.140677786302,0,1446.4115811571055,0,6528.729096629197,0,0,0,0,0,0,0,0,0,6414.476932955619,0,819.9335747974417,0,0,0,5594.543358158177,0,819.9335747974419,0,0,0,1.4125286500748033,0,False
35,2047-01-01,72271.06849315068,0,8030.125145556166,0,1444.1786546534702,0,6585.946490902696,0,0,0,0,0,0,0,0,0,5101.227985548363,0,607.902597795931,0,0,0,4493.325387752432,0,607.9025977959309,0,0,0,1.4123299901360078,0,False
36,2047-07-01,73468.93150684932,0,8163.221142443835,0,1468.1153174377819,0,6695.105825006052,0,0,0,0,0,0,0,0,0,6574.717606978398,0,419.73538454871397,0,0,0,6154.982222429684,0,419.73538454871414,0,2.2890420311959154,0,1.4123299901360078,0,False
37,2048-01-01,72471.80327868853,0,8235.115950163934,0,1470.027252948142,0,6765.088697215791,0,0,0,0,0,0,0,0,0,4603.833622158341,0,178.46947992776467,0,0,0,4425.364142230576,0,178.46947992776495,0,456.06550872652167,0,1.4122324697268376,0,False
38,2048-07-01,73268.19672131147,0,8325.611729836066,0,1486.1813985849349,0,6839.430331251131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6755.244944213952,0,1.4122324697268374,0,False
39,2049-01-01,72271.06849315068,0,8400.015701210958,0,1488.167928893251,0,6911.847772317707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5039.039719163684,0,1.412045155567486,0,False
40,2049-07-01,73468.93150684932,0,8539.242480789042,0,1512.8336956704873,0,7026.408785118555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6898.688406515787,0,1.412045155567486,0,False
41,2050-01-01,72271.06849315068,0,8587.39290049315,0,1552.8760896628971,0,7034.516810830253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4618.9376413551145,0,1.4118664893706552,0,False
42,2050-07-01,73468.93150684932,0,8729.72537950685,0,1578.6143673921163,0,7151.111012114734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7023.361583046342,0,1.4118664893706552,0,False
43,2051-01-01,72271.06849315068,0,8775.550627315068,0,1575.9858766616342,0,7199.564750653433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4614.275098839395,0,1.4116944134469283,0,False
44,2051-07-01,73468.93150684932,0,8921.001742684932,0,1602.1071895344792,0,7318.894553150452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7188.083926855638,0,1.4116944134469283,0,False
45,2052-01-01,72471.80327868853,0,9027.29798462295,0,1604.0006732476677,0,7423.297311375282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4722.573408125161,0,1.4114801437667233,0,False
46,2052-07-01,73268.19672131147,0,9126.49906137705,0,1621.6270542723676,0,7504.872007104682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7411.423259719582,0,1.4114801437667233,0,False
47,2053-01-01,72271.06849315068,0,9173.366723835616,0,1623.6012817938324,0,7549.765442041783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4835.109686022033,0,1.4113448357362324,0,False
48,2053-07-01,73468.93150684932,0,9325.411476164383,0,1650.5118002766035,0,7674.89967588778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7537.59376473017,0,1.4113448357362326,0,False
49,2054-01-01,72271.06849315068,0,9346.932921928767,0,1648.1255726351885,0,7698.807349293578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4951.965067923739,0,1.4111341698393896,0,False
50,2054-07-01,73468.93150684932,0,9501.854462071235,0,1675.442571076656,0,7826.411890994579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7686.341651644875,0,1.4111341698393893,0,False
51,2055-01-01,72271.06849315068,0,9578.915824684931,0,1710.9867054577555,0,7867.929119227176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5049.782499810937,0,1.4108645216781157,0,False
52,2055-07-01,73468.93150684932,0,9737.682385315069,0,1739.3456011283263,0,7998.336784186743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7855.1297889732405,0,1.410864521678116,0,False
53,2056-01-01,72471.80327868853,0,9776.15637508197,0,1741.324956815957,0,8034.831418266012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5160.3964143773255,0,1.4107490214683902,0,False
54,2056-07-01,73268.19672131147,0,9883.586664918035,0,1760.4603959018466,0,8123.126269016188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021.754312771267,0,1.4107490214683902,0,False
55,2057-01-01,72271.06849315068,0,9882.952982728768,0,1762.5271512842764,0,8120.425831444491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5232.99783770875,0,1.4106034147383077,0,False
56,2057-07-01,73468.93150684932,0,10046.758833271233,0,1791.7403084878827,0,8255.01852478335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8107.1283918345425,0,1.4106034147383077,0,False
57,2058-01-01,72271.06849315068,0,10007.750663802739,0,1789.0730323921537,0,8218.677631410585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5325.78880789641,0,1.4105434041619003,0,False
58,2058-07-01,73468.93150684932,0,10173.624984197262,0,1818.7261765754492,0,8354.898807621812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8205.186366937023,0,1.4105434041619005,0,False
59,2059-01-01,72271.06849315068,0,10077.860827347944,0,1816.1498311221885,0,8261.710996225756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5389.894066466311,0,1.410470055283326,0,False
60,2059-07-01,73468.93150684932,0,10244.897194652054,0,1846.2517620247663,0,8398.645432627287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8248.134838283893,0,1.410470055283326,0,False
61,2060-01-01,0,398.1967213114754,0,56.12442601729508,0,0,0,56.12442601729508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5372.2075527486095,56.12442601729508,1.2,inf,False
