period,date,legacy_distribution_keur,da_distribution_keur,distribution_delta_keur,legacy_dscr,da_wired_dscr,dscr_delta,senior_ds_keur,cfads_or_cash_available_keur,lockup_active,blocked_reason,blocked_details,status,notes
22,2040-06-30,3607.95,3607.95,0.0,inf,inf,N/A,0,3607.95,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
23,2040-12-31,3401.3,3401.3,0.0,inf,inf,N/A,0,3401.3,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
24,2041-06-30,3667.64,3667.64,0.0,inf,inf,N/A,0,3667.64,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
25,2041-12-31,3474.37,3474.37,0.0,inf,inf,N/A,0,3474.37,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
26,2042-06-30,6140.28,6140.28,0.0,inf,inf,N/A,0,6140.28,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
27,2042-12-31,5736.64,5736.64,0.0,inf,inf,N/A,0,5736.64,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
28,2043-06-30,6115.46,6115.46,0.0,inf,inf,N/A,0,6115.46,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
29,2043-12-31,5713.92,5713.92,0.0,inf,inf,N/A,0,5713.92,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
30,2044-06-30,6187.85,6187.85,0.0,inf,inf,N/A,0,6187.85,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
31,2044-12-31,5748.72,5748.72,0.0,inf,inf,N/A,0,5748.72,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
32,2045-06-30,6221.79,6221.79,0.0,inf,inf,N/A,0,6221.79,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
33,2045-12-31,5811.21,5811.21,0.0,inf,inf,N/A,0,5811.21,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
34,2046-06-30,6419.49,6419.49,0.0,inf,inf,N/A,0,6419.49,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
35,2046-12-31,5992.09,5992.09,0.0,inf,inf,N/A,0,5992.09,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
36,2047-06-30,6570.29,6570.29,0.0,inf,inf,N/A,0,6570.29,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
37,2047-12-31,6130.06,6130.06,0.0,inf,inf,N/A,0,6130.06,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
38,2048-06-30,6735.89,6735.89,0.0,inf,inf,N/A,0,6735.89,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
39,2048-12-31,6247.38,6247.38,0.0,inf,inf,N/A,0,6247.38,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
40,2049-06-30,6868.64,6868.64,0.0,inf,inf,N/A,0,6868.64,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
41,2049-12-31,6403.02,6403.02,0.0,inf,inf,N/A,0,6403.02,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
42,2050-06-30,7018.6,7018.6,0.0,inf,inf,N/A,0,7018.6,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
43,2050-12-31,6540.23,6540.23,0.0,inf,inf,N/A,0,6540.23,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
44,2051-06-30,7168.19,7168.19,0.0,inf,inf,N/A,0,7168.19,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
45,2051-12-31,6677.09,6677.09,0.0,inf,inf,N/A,0,6677.09,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
46,2052-06-30,7375.59,7375.59,0.0,inf,inf,N/A,0,7375.59,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
47,2052-12-31,6829.44,6829.44,0.0,inf,inf,N/A,0,6829.44,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
48,2053-06-30,7485.2,7485.2,0.0,inf,inf,N/A,0,7485.2,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
49,2053-12-31,6967.13,6967.13,0.0,inf,inf,N/A,0,6967.13,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
50,2054-06-30,7616.44,7616.44,0.0,inf,inf,N/A,0,7616.44,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
51,2054-12-31,7087.2,7087.2,0.0,inf,inf,N/A,0,7087.2,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
52,2055-06-30,7804.73,7804.73,0.0,inf,inf,N/A,0,7804.73,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
53,2055-12-31,7259.47,7259.47,0.0,inf,inf,N/A,0,7259.47,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
54,2056-06-30,7951.81,7951.81,0.0,inf,inf,N/A,0,7951.81,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
55,2056-12-31,7353.73,7353.73,0.0,inf,inf,N/A,0,7353.73,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
56,2057-06-30,8017.06,8017.06,0.0,inf,inf,N/A,0,8017.06,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
57,2057-12-31,7453.74,7453.74,0.0,inf,inf,N/A,0,7453.74,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
58,2058-06-30,8093.73,8093.73,0.0,inf,inf,N/A,0,8093.73,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
59,2058-12-31,7523.88,7523.88,0.0,inf,inf,N/A,0,7523.88,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
60,2059-06-30,8114.09,8114.09,0.0,inf,inf,N/A,0,8114.09,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
61,2059-12-31,7542.51,7542.51,0.0,inf,inf,N/A,0,7542.51,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
62,2060-01-01,56.12,56.12,0.0,inf,inf,N/A,0,56.12,False,distribution_account,,PASS,"lockup=False, senior_ds=0"
