period,date,shl_balance_keur,shl_interest_keur,shl_principal_keur,shl_pik_keur,equity_cf_keur,status,notes
52,2055-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
53,2055-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
54,2056-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
55,2056-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
56,2057-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
57,2057-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
58,2058-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
59,2058-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
60,2059-06-30,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
61,2059-12-31,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
62,2060-01-01,0.00,0.00,0.00,0.00,0.00,CORRECTED,SHL balance correctly tracked
