period_index,period_label,year_index,half_year,excel_cf_r38_keur,python_flat_keur,python_actual_day_keur,python_current_projection_keur,delta_flat_keur,delta_actual_day_keur,delta_current_projection_keur,best_method,status,notes
33,Y17-H1,17,1,1422.8288,1434.6202,1422.8288,1422.8288,11.7914,0.0000,0.0000,ACTUAL_DAY,EXACT,
34,Y17-H2,17,2,1446.4116,1434.6202,1446.4116,1446.4116,-11.7914,0.0000,0.0000,ACTUAL_DAY,EXACT,
35,Y18-H1,18,1,1444.1787,1456.1470,1444.1787,1444.1787,11.9683,0.0000,0.0000,ACTUAL_DAY,EXACT,
36,Y18-H2,18,2,1468.1153,1456.1470,1468.1153,1468.1153,-11.9683,0.0000,0.0000,ACTUAL_DAY,EXACT,
37,Y19-H1,19,1,1470.0273,1478.1043,1474.0547,1474.0547,8.0771,4.0275,4.0275,ACTUAL_DAY,PASS_STRICT,leap=True
38,Y19-H2,19,2,1486.1814,1478.1043,1482.1539,1482.1539,-8.0771,-4.0275,-4.0275,ACTUAL_DAY,PASS_STRICT,leap=True
39,Y20-H1,20,1,1488.1679,1500.5008,1488.1679,1488.1679,12.3329,0.0000,0.0000,ACTUAL_DAY,EXACT,
40,Y20-H2,20,2,1512.8337,1500.5008,1512.8337,1512.8337,-12.3329,0.0000,0.0000,ACTUAL_DAY,EXACT,
41,Y21-H1,21,1,1552.8761,1565.7452,1552.8761,1552.8761,12.8691,0.0000,0.0000,ACTUAL_DAY,EXACT,
42,Y21-H2,21,2,1578.6144,1565.7452,1578.6144,1578.6144,-12.8691,0.0000,0.0000,ACTUAL_DAY,EXACT,
43,Y22-H1,22,1,1575.9859,1589.0465,1575.9859,1575.9859,13.0607,0.0000,0.0000,ACTUAL_DAY,EXACT,
44,Y22-H2,22,2,1602.1072,1589.0465,1602.1072,1602.1072,-13.0607,0.0000,0.0000,ACTUAL_DAY,EXACT,
45,Y23-H1,23,1,1604.0007,1612.8139,1608.3952,1608.3952,8.8132,4.3945,4.3945,ACTUAL_DAY,PASS_STRICT,leap=True
46,Y23-H2,23,2,1621.6271,1612.8139,1617.2325,1617.2325,-8.8132,-4.3945,-4.3945,ACTUAL_DAY,PASS_STRICT,leap=True
47,Y24-H1,24,1,1623.6013,1637.0565,1623.6013,1623.6013,13.4553,0.0000,0.0000,ACTUAL_DAY,EXACT,
48,Y24-H2,24,2,1650.5118,1637.0565,1650.5118,1650.5118,-13.4553,0.0000,0.0000,ACTUAL_DAY,EXACT,
49,Y25-H1,25,1,1648.1256,1661.7841,1648.1256,1648.1256,13.6585,0.0000,0.0000,ACTUAL_DAY,EXACT,
50,Y25-H2,25,2,1675.4426,1661.7841,1675.4426,1675.4426,-13.6585,0.0000,0.0000,ACTUAL_DAY,EXACT,
51,Y26-H1,26,1,1710.9867,1725.1662,1710.9867,1710.9867,14.1794,0.0000,0.0000,ACTUAL_DAY,EXACT,
52,Y26-H2,26,2,1739.3456,1725.1662,1739.3456,1739.3456,-14.1794,0.0000,0.0000,ACTUAL_DAY,EXACT,
53,Y27-H1,27,1,1741.3250,1750.8927,1746.0957,1746.0957,9.5677,4.7708,4.7708,ACTUAL_DAY,PASS_STRICT,leap=True
54,Y27-H2,27,2,1760.4604,1750.8927,1755.6896,1755.6896,-9.5677,-4.7708,-4.7708,ACTUAL_DAY,PASS_STRICT,leap=True
55,Y28-H1,28,1,1762.5272,1777.1337,1762.5272,1762.5272,14.6066,0.0000,0.0000,ACTUAL_DAY,EXACT,
56,Y28-H2,28,2,1791.7403,1777.1337,1791.7403,1791.7403,-14.6066,0.0000,0.0000,ACTUAL_DAY,EXACT,
57,Y29-H1,29,1,1789.0730,1803.8996,1789.0730,1789.0730,14.8266,0.0000,0.0000,ACTUAL_DAY,EXACT,
58,Y29-H2,29,2,1818.7262,1803.8996,1818.7262,1818.7262,-14.8266,0.0000,0.0000,ACTUAL_DAY,EXACT,
59,Y30-H1,30,1,1816.1498,1831.2008,1816.1498,1816.1498,15.0510,0.0000,0.0000,ACTUAL_DAY,EXACT,
60,Y30-H2,30,2,1846.2518,1831.2008,1846.2518,1846.2518,-15.0510,0.0000,0.0000,ACTUAL_DAY,EXACT,
