project,group_code,item_code,item_name,year_index,basis,primary_driver,base_amount_keur,inflation_rate,inflation_factor,active,explicit_schedule_value_keur,manual_override_keur,contingency_rate,contingency_base_keur,base_component_keur,inflation_component_keur,volume_component_keur,step_change_component_keur,active_flag_component_keur,contingency_component_keur,manual_override_component_keur,resulting_amount_keur,total_movement_vs_base_keur,reconciliation_delta_keur,notes
TUHO,B.01,B.01.1,Asset Management Contract,4,fixed_annual_keur,INFLATION,138.0,0.02,1.0612080000000002,True,,,,,138.0,8.446704000000011,0.0,0.0,0.0,0.0,0.0,146.446704,8.446704000000011,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,4,fixed_annual_keur,INFLATION,67.0,0.02,1.0612080000000002,True,,,,,67.0,4.100936000000004,0.0,0.0,0.0,0.0,0.0,71.100936,4.100936000000004,0.0,
TUHO,B.01,B.01.3,Performance monitoring,4,fixed_annual_keur,INFLATION,35.0,0.02,1.0612080000000002,True,,,,,35.0,2.1422800000000066,0.0,0.0,0.0,0.0,0.0,37.14228000000001,2.1422800000000066,0.0,
TUHO,B.01,B.01.4,Technical Inspections,4,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.0612080000000002,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,4,fixed_annual_keur,INFLATION,18.0,0.02,1.0612080000000002,True,,,,,18.0,1.1017440000000036,0.0,0.0,0.0,0.0,0.0,19.101744000000004,1.1017440000000036,0.0,
TUHO,B.01,B.01.6,Bazefield,4,fixed_annual_keur,INFLATION,22.0,0.02,1.0612080000000002,True,,,,,22.0,1.3465760000000024,0.0,0.0,0.0,0.0,0.0,23.346576000000002,1.3465760000000024,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,5,fixed_annual_keur,INFLATION,138.0,0.02,1.08243216,True,,,,,138.0,11.375638079999987,0.0,0.0,0.0,0.0,0.0,149.37563808,11.375638079999987,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,5,fixed_annual_keur,INFLATION,67.0,0.02,1.08243216,True,,,,,67.0,5.522954720000001,0.0,0.0,0.0,0.0,0.0,72.52295472,5.522954720000001,0.0,
TUHO,B.01,B.01.3,Performance monitoring,5,fixed_annual_keur,INFLATION,35.0,0.02,1.08243216,True,,,,,35.0,2.885125600000002,0.0,0.0,0.0,0.0,0.0,37.8851256,2.885125600000002,0.0,
TUHO,B.01,B.01.4,Technical Inspections,5,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.08243216,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,5,fixed_annual_keur,INFLATION,18.0,0.02,1.08243216,True,,,,,18.0,1.4837788799999991,0.0,0.0,0.0,0.0,0.0,19.48377888,1.4837788799999991,0.0,
TUHO,B.01,B.01.6,Bazefield,5,fixed_annual_keur,INFLATION,22.0,0.02,1.08243216,True,,,,,22.0,1.8135075199999982,0.0,0.0,0.0,0.0,0.0,23.813507519999998,1.8135075199999982,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,6,fixed_annual_keur,INFLATION,138.0,0.02,1.1040808032,True,,,,,138.0,14.363150841600003,0.0,0.0,0.0,0.0,0.0,152.3631508416,14.363150841600003,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,6,fixed_annual_keur,INFLATION,67.0,0.02,1.1040808032,True,,,,,67.0,6.973413814400004,0.0,0.0,0.0,0.0,0.0,73.9734138144,6.973413814400004,0.0,
TUHO,B.01,B.01.3,Performance monitoring,6,fixed_annual_keur,INFLATION,35.0,0.02,1.1040808032,True,,,,,35.0,3.6428281120000037,0.0,0.0,0.0,0.0,0.0,38.642828112000004,3.6428281120000037,0.0,
TUHO,B.01,B.01.4,Technical Inspections,6,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.1040808032,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,6,fixed_annual_keur,INFLATION,18.0,0.02,1.1040808032,True,,,,,18.0,1.8734544576000012,0.0,0.0,0.0,0.0,0.0,19.8734544576,1.8734544576000012,0.0,
TUHO,B.01,B.01.6,Bazefield,6,fixed_annual_keur,INFLATION,22.0,0.02,1.1040808032,True,,,,,22.0,2.2897776703999995,0.0,0.0,0.0,0.0,0.0,24.2897776704,2.2897776703999995,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,7,fixed_annual_keur,INFLATION,138.0,0.02,1.126162419264,True,,,,,138.0,17.41041385843201,0.0,0.0,0.0,0.0,0.0,155.410413858432,17.41041385843201,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,7,fixed_annual_keur,INFLATION,67.0,0.02,1.126162419264,True,,,,,67.0,8.452882090688007,0.0,0.0,0.0,0.0,0.0,75.45288209068801,8.452882090688007,0.0,
TUHO,B.01,B.01.3,Performance monitoring,7,fixed_annual_keur,INFLATION,35.0,0.02,1.126162419264,True,,,,,35.0,4.415684674240005,0.0,0.0,0.0,0.0,0.0,39.415684674240005,4.415684674240005,0.0,
TUHO,B.01,B.01.4,Technical Inspections,7,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.126162419264,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,7,fixed_annual_keur,INFLATION,18.0,0.02,1.126162419264,True,,,,,18.0,2.2709235467520017,0.0,0.0,0.0,0.0,0.0,20.270923546752,2.2709235467520017,0.0,
TUHO,B.01,B.01.6,Bazefield,7,fixed_annual_keur,INFLATION,22.0,0.02,1.126162419264,True,,,,,22.0,2.775573223808003,0.0,0.0,0.0,0.0,0.0,24.775573223808003,2.775573223808003,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,8,fixed_annual_keur,INFLATION,138.0,0.02,1.14868566764928,True,,,,,138.0,20.51862213560065,0.0,0.0,0.0,0.0,0.0,158.51862213560065,20.51862213560065,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,8,fixed_annual_keur,INFLATION,67.0,0.02,1.14868566764928,True,,,,,67.0,9.961939732501762,0.0,0.0,0.0,0.0,0.0,76.96193973250176,9.961939732501762,0.0,
TUHO,B.01,B.01.3,Performance monitoring,8,fixed_annual_keur,INFLATION,35.0,0.02,1.14868566764928,True,,,,,35.0,5.2039983677248,0.0,0.0,0.0,0.0,0.0,40.2039983677248,5.2039983677248,0.0,
TUHO,B.01,B.01.4,Technical Inspections,8,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.14868566764928,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,8,fixed_annual_keur,INFLATION,18.0,0.02,1.14868566764928,True,,,,,18.0,2.676342017687041,0.0,0.0,0.0,0.0,0.0,20.67634201768704,2.676342017687041,0.0,
TUHO,B.01,B.01.6,Bazefield,8,fixed_annual_keur,INFLATION,22.0,0.02,1.14868566764928,True,,,,,22.0,3.271084688284162,0.0,0.0,0.0,0.0,0.0,25.271084688284162,3.271084688284162,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,9,fixed_annual_keur,INFLATION,138.0,0.02,1.1716593810022657,True,,,,,138.0,23.688994578312673,0.0,0.0,0.0,0.0,0.0,161.68899457831267,23.688994578312673,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,9,fixed_annual_keur,INFLATION,67.0,0.02,1.1716593810022657,True,,,,,67.0,11.501178527151808,0.0,0.0,0.0,0.0,0.0,78.50117852715181,11.501178527151808,0.0,
TUHO,B.01,B.01.3,Performance monitoring,9,fixed_annual_keur,INFLATION,35.0,0.02,1.1716593810022657,True,,,,,35.0,6.008078335079304,0.0,0.0,0.0,0.0,0.0,41.008078335079304,6.008078335079304,0.0,
TUHO,B.01,B.01.4,Technical Inspections,9,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.1716593810022657,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,9,fixed_annual_keur,INFLATION,18.0,0.02,1.1716593810022657,True,,,,,18.0,3.0898688580407843,0.0,0.0,0.0,0.0,0.0,21.089868858040784,3.0898688580407843,0.0,
TUHO,B.01,B.01.6,Bazefield,9,fixed_annual_keur,INFLATION,22.0,0.02,1.1716593810022657,True,,,,,22.0,3.7765063820498455,0.0,0.0,0.0,0.0,0.0,25.776506382049845,3.7765063820498455,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,10,fixed_annual_keur,INFLATION,138.0,0.02,1.195092568622311,True,,,,,138.0,26.92277446987893,0.0,0.0,0.0,0.0,0.0,164.92277446987893,26.92277446987893,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,10,fixed_annual_keur,INFLATION,67.0,0.02,1.195092568622311,True,,,,,67.0,13.071202097694837,0.0,0.0,0.0,0.0,0.0,80.07120209769484,13.071202097694837,0.0,
TUHO,B.01,B.01.3,Performance monitoring,10,fixed_annual_keur,INFLATION,35.0,0.02,1.195092568622311,True,,,,,35.0,6.82823990178089,0.0,0.0,0.0,0.0,0.0,41.82823990178089,6.82823990178089,0.0,
TUHO,B.01,B.01.4,Technical Inspections,10,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.195092568622311,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,10,fixed_annual_keur,INFLATION,18.0,0.02,1.195092568622311,True,,,,,18.0,3.5116662352015986,0.0,0.0,0.0,0.0,0.0,21.5116662352016,3.5116662352015986,0.0,
TUHO,B.01,B.01.6,Bazefield,10,fixed_annual_keur,INFLATION,22.0,0.02,1.195092568622311,True,,,,,22.0,4.292036509690842,0.0,0.0,0.0,0.0,0.0,26.292036509690842,4.292036509690842,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,11,fixed_annual_keur,INFLATION,138.0,0.02,1.2189944199947573,True,,,,,138.0,30.221229959276513,0.0,0.0,0.0,0.0,0.0,168.2212299592765,30.221229959276513,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,11,fixed_annual_keur,INFLATION,67.0,0.02,1.2189944199947573,True,,,,,67.0,14.672626139648742,0.0,0.0,0.0,0.0,0.0,81.67262613964874,14.672626139648742,0.0,
TUHO,B.01,B.01.3,Performance monitoring,11,fixed_annual_keur,INFLATION,35.0,0.02,1.2189944199947573,True,,,,,35.0,7.664804699816507,0.0,0.0,0.0,0.0,0.0,42.66480469981651,7.664804699816507,0.0,
TUHO,B.01,B.01.4,Technical Inspections,11,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.2189944199947573,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,11,fixed_annual_keur,INFLATION,18.0,0.02,1.2189944199947573,True,,,,,18.0,3.9418995599056323,0.0,0.0,0.0,0.0,0.0,21.941899559905632,3.9418995599056323,0.0,
TUHO,B.01,B.01.6,Bazefield,11,fixed_annual_keur,INFLATION,22.0,0.02,1.2189944199947573,True,,,,,22.0,4.8178772398846625,0.0,0.0,0.0,0.0,0.0,26.817877239884663,4.8178772398846625,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,12,fixed_annual_keur,INFLATION,138.0,0.02,1.2433743083946525,True,,,,,138.0,33.58565455846204,0.0,0.0,0.0,0.0,0.0,171.58565455846204,33.58565455846204,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,12,fixed_annual_keur,INFLATION,67.0,0.02,1.2433743083946525,True,,,,,67.0,16.30607866244172,0.0,0.0,0.0,0.0,0.0,83.30607866244172,16.30607866244172,0.0,
TUHO,B.01,B.01.3,Performance monitoring,12,fixed_annual_keur,INFLATION,35.0,0.02,1.2433743083946525,True,,,,,35.0,8.518100793812835,0.0,0.0,0.0,0.0,0.0,43.518100793812835,8.518100793812835,0.0,
TUHO,B.01,B.01.4,Technical Inspections,12,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.2433743083946525,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,12,fixed_annual_keur,INFLATION,18.0,0.02,1.2433743083946525,True,,,,,18.0,4.380737551103746,0.0,0.0,0.0,0.0,0.0,22.380737551103746,4.380737551103746,0.0,
TUHO,B.01,B.01.6,Bazefield,12,fixed_annual_keur,INFLATION,22.0,0.02,1.2433743083946525,True,,,,,22.0,5.354234784682355,0.0,0.0,0.0,0.0,0.0,27.354234784682355,5.354234784682355,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,13,fixed_annual_keur,INFLATION,138.0,0.02,1.2682417945625455,True,,,,,138.0,37.01736764963127,0.0,0.0,0.0,0.0,0.0,175.01736764963127,37.01736764963127,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,13,fixed_annual_keur,INFLATION,67.0,0.02,1.2682417945625455,True,,,,,67.0,17.97220023569055,0.0,0.0,0.0,0.0,0.0,84.97220023569055,17.97220023569055,0.0,
TUHO,B.01,B.01.3,Performance monitoring,13,fixed_annual_keur,INFLATION,35.0,0.02,1.2682417945625455,True,,,,,35.0,9.388462809689095,0.0,0.0,0.0,0.0,0.0,44.388462809689095,9.388462809689095,0.0,
TUHO,B.01,B.01.4,Technical Inspections,13,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.2682417945625455,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,13,fixed_annual_keur,INFLATION,18.0,0.02,1.2682417945625455,True,,,,,18.0,4.828352302125818,0.0,0.0,0.0,0.0,0.0,22.82835230212582,4.828352302125818,0.0,
TUHO,B.01,B.01.6,Bazefield,13,fixed_annual_keur,INFLATION,22.0,0.02,1.2682417945625455,True,,,,,22.0,5.901319480375999,0.0,0.0,0.0,0.0,0.0,27.901319480376,5.901319480375999,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,14,fixed_annual_keur,INFLATION,138.0,0.02,1.2936066304537965,True,,,,,138.0,40.51771500262393,0.0,0.0,0.0,0.0,0.0,178.51771500262393,40.51771500262393,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,14,fixed_annual_keur,INFLATION,67.0,0.02,1.2936066304537965,True,,,,,67.0,19.671644240404362,0.0,0.0,0.0,0.0,0.0,86.67164424040436,19.671644240404362,0.0,
TUHO,B.01,B.01.3,Performance monitoring,14,fixed_annual_keur,INFLATION,35.0,0.02,1.2936066304537965,True,,,,,35.0,10.27623206588288,0.0,0.0,0.0,0.0,0.0,45.27623206588288,10.27623206588288,0.0,
TUHO,B.01,B.01.4,Technical Inspections,14,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.2936066304537965,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,14,fixed_annual_keur,INFLATION,18.0,0.02,1.2936066304537965,True,,,,,18.0,5.284919348168337,0.0,0.0,0.0,0.0,0.0,23.284919348168337,5.284919348168337,0.0,
TUHO,B.01,B.01.6,Bazefield,14,fixed_annual_keur,INFLATION,22.0,0.02,1.2936066304537965,True,,,,,22.0,6.4593458699835224,0.0,0.0,0.0,0.0,0.0,28.459345869983522,6.4593458699835224,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,15,fixed_annual_keur,INFLATION,138.0,0.02,1.3194787630628724,True,,,,,138.0,44.08806930267639,0.0,0.0,0.0,0.0,0.0,182.0880693026764,44.08806930267639,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,15,fixed_annual_keur,INFLATION,67.0,0.02,1.3194787630628724,True,,,,,67.0,21.405077125212443,0.0,0.0,0.0,0.0,0.0,88.40507712521244,21.405077125212443,0.0,
TUHO,B.01,B.01.3,Performance monitoring,15,fixed_annual_keur,INFLATION,35.0,0.02,1.3194787630628724,True,,,,,35.0,11.181756707200535,0.0,0.0,0.0,0.0,0.0,46.181756707200535,11.181756707200535,0.0,
TUHO,B.01,B.01.4,Technical Inspections,15,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.3194787630628724,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,15,fixed_annual_keur,INFLATION,18.0,0.02,1.3194787630628724,True,,,,,18.0,5.750617735131701,0.0,0.0,0.0,0.0,0.0,23.7506177351317,5.750617735131701,0.0,
TUHO,B.01,B.01.6,Bazefield,15,fixed_annual_keur,INFLATION,22.0,0.02,1.3194787630628724,True,,,,,22.0,7.028532787383192,0.0,0.0,0.0,0.0,0.0,29.02853278738319,7.028532787383192,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,16,fixed_annual_keur,INFLATION,138.0,0.02,1.3458683383241299,True,,,,,138.0,47.72983068872992,0.0,0.0,0.0,0.0,0.0,185.72983068872992,47.72983068872992,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,16,fixed_annual_keur,INFLATION,67.0,0.02,1.3458683383241299,True,,,,,67.0,23.173178667716698,0.0,0.0,0.0,0.0,0.0,90.1731786677167,23.173178667716698,0.0,
TUHO,B.01,B.01.3,Performance monitoring,16,fixed_annual_keur,INFLATION,35.0,0.02,1.3458683383241299,True,,,,,35.0,12.105391841344549,0.0,0.0,0.0,0.0,0.0,47.10539184134455,12.105391841344549,0.0,
TUHO,B.01,B.01.4,Technical Inspections,16,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.3458683383241299,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,16,fixed_annual_keur,INFLATION,18.0,0.02,1.3458683383241299,True,,,,,18.0,6.22563008983434,0.0,0.0,0.0,0.0,0.0,24.22563008983434,6.22563008983434,0.0,
TUHO,B.01,B.01.6,Bazefield,16,fixed_annual_keur,INFLATION,22.0,0.02,1.3458683383241299,True,,,,,22.0,7.609103443130856,0.0,0.0,0.0,0.0,0.0,29.609103443130856,7.609103443130856,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,17,fixed_annual_keur,INFLATION,138.0,0.02,1.3727857050906125,True,,,,,138.0,51.44442730250452,0.0,0.0,0.0,0.0,0.0,189.44442730250452,51.44442730250452,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,17,fixed_annual_keur,INFLATION,67.0,0.02,1.3727857050906125,True,,,,,67.0,24.976642241071033,0.0,0.0,0.0,0.0,0.0,91.97664224107103,24.976642241071033,0.0,
TUHO,B.01,B.01.3,Performance monitoring,17,fixed_annual_keur,INFLATION,35.0,0.02,1.3727857050906125,True,,,,,35.0,13.047499678171434,0.0,0.0,0.0,0.0,0.0,48.047499678171434,13.047499678171434,0.0,
TUHO,B.01,B.01.4,Technical Inspections,17,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.3727857050906125,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,17,fixed_annual_keur,INFLATION,18.0,0.02,1.3727857050906125,True,,,,,18.0,6.710142691631024,0.0,0.0,0.0,0.0,0.0,24.710142691631024,6.710142691631024,0.0,
TUHO,B.01,B.01.6,Bazefield,17,fixed_annual_keur,INFLATION,22.0,0.02,1.3727857050906125,True,,,,,22.0,8.201285511993476,0.0,0.0,0.0,0.0,0.0,30.201285511993476,8.201285511993476,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,18,fixed_annual_keur,INFLATION,138.0,0.02,1.4002414191924248,True,,,,,138.0,55.23331584855464,0.0,0.0,0.0,0.0,0.0,193.23331584855464,55.23331584855464,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,18,fixed_annual_keur,INFLATION,67.0,0.02,1.4002414191924248,True,,,,,67.0,26.816175085892468,0.0,0.0,0.0,0.0,0.0,93.81617508589247,26.816175085892468,0.0,
TUHO,B.01,B.01.3,Performance monitoring,18,fixed_annual_keur,INFLATION,35.0,0.02,1.4002414191924248,True,,,,,35.0,14.008449671734873,0.0,0.0,0.0,0.0,0.0,49.00844967173487,14.008449671734873,0.0,
TUHO,B.01,B.01.4,Technical Inspections,18,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.4002414191924248,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,18,fixed_annual_keur,INFLATION,18.0,0.02,1.4002414191924248,True,,,,,18.0,7.204345545463646,0.0,0.0,0.0,0.0,0.0,25.204345545463646,7.204345545463646,0.0,
TUHO,B.01,B.01.6,Bazefield,18,fixed_annual_keur,INFLATION,22.0,0.02,1.4002414191924248,True,,,,,22.0,8.805311222233346,0.0,0.0,0.0,0.0,0.0,30.805311222233346,8.805311222233346,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,19,fixed_annual_keur,INFLATION,138.0,0.02,1.4282462475762734,True,,,,,138.0,59.097982165525735,0.0,0.0,0.0,0.0,0.0,197.09798216552574,59.097982165525735,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,19,fixed_annual_keur,INFLATION,67.0,0.02,1.4282462475762734,True,,,,,67.0,28.692498587610316,0.0,0.0,0.0,0.0,0.0,95.69249858761032,28.692498587610316,0.0,
TUHO,B.01,B.01.3,Performance monitoring,19,fixed_annual_keur,INFLATION,35.0,0.02,1.4282462475762734,True,,,,,35.0,14.988618665169568,0.0,0.0,0.0,0.0,0.0,49.98861866516957,14.988618665169568,0.0,
TUHO,B.01,B.01.4,Technical Inspections,19,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.4282462475762734,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
TUHO,B.01,B.01.5,Meteorological and weather forecast service,19,fixed_annual_keur,INFLATION,18.0,0.02,1.4282462475762734,True,,,,,18.0,7.708432456372922,0.0,0.0,0.0,0.0,0.0,25.708432456372922,7.708432456372922,0.0,
TUHO,B.01,B.01.6,Bazefield,19,fixed_annual_keur,INFLATION,22.0,0.02,1.4282462475762734,True,,,,,22.0,9.421417446678014,0.0,0.0,0.0,0.0,0.0,31.421417446678014,9.421417446678014,0.0,
TUHO,B.01,B.01.1,Asset Management Contract,20,fixed_annual_keur,INFLATION,138.0,0.02,1.4568111725277988,True,,,,,138.0,63.03994180883623,0.0,0.0,0.0,0.0,0.0,201.03994180883623,63.03994180883623,0.0,
TUHO,B.01,B.01.2,Operation Management Contract,20,fixed_annual_keur,INFLATION,67.0,0.02,1.4568111725277988,True,,,,,67.0,30.606348559362516,0.0,0.0,0.0,0.0,0.0,97.60634855936252,30.606348559362516,0.0,
TUHO,B.01,B.01.3,Performance monitoring,20,fixed_annual_keur,INFLATION,35.0,0.02,1.4568111725277988,True,,,,,35.0,15.988391038472955,0.0,0.0,0.0,0.0,0.0,50.988391038472955,15.988391038472955,0.0,
TUHO,B.01,B.01.4,Technical Inspections,20,fixed_annual_keur,ZERO_LINE,0.0,0.02,1.4568111725277988,True,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
