section,metric,classification,why_unresolved,engineering_work_exists,evidence_missing,governance_decision_required,expected_roadmap_phase,recommended_action,notes
Tax,Taxable Profit After Losses,MISSING_EVIDENCE,Taxable profit after losses is already exposed runtime-side but not committed on the Excel side of this pack.,no,yes,no,Phase 10,Keep the runtime row visible and document the Excel-side evidence gap explicitly.,Useful for lender and tax reviewers even where Excel parity remains incomplete.
Tax,CIT Accrual,MISSING_EVIDENCE,"The runtime audit field exists for CIT accrual, but the committed Excel evidence pack does not include a matching row.",no,yes,no,Phase 10,Expose the runtime accrual row and preserve the missing Excel side explicitly.,Improves tax bridge completeness without changing formulas.
Tax,Cash Tax Current Period,MISSING_EVIDENCE,"Current-period cash tax is already exposed through runtime audit fields, but the committed Excel evidence pack has no matching line.",no,yes,no,Phase 10,Show the runtime value and keep the Excel-side gap documented.,Avoids treating runtime-available tax evidence as missing on both sides.
CFADS,Tax Cash,MISSING_EVIDENCE,Excel tax cash row is not committed in the current evidence pack.,no,yes,no,Phase 10,Keep as runtime evidence only.,Missing evidence is explicit.
CFADS,CFADS / R69,MISSING_EVIDENCE,Period-level Excel R69 remains outside the committed evidence set.,no,yes,no,Phase 10,Future tax/waterfall review can map this if required.,Runtime value is available.
CFADS,FCF for Distribution / R99,GOVERNANCE_BLOCKER,R99 runtime promotion remains not approved by governance.,no,no,yes,Phase 10,Do not promote or rely on R99 as authoritative runtime source.,Shown for audit visibility only.
CFADS,FCF for SHL / R102,GOVERNANCE_BLOCKER,R102 runtime promotion remains not approved by governance.,no,no,yes,Phase 10,Keep audit-only until explicit approval.,No runtime promotion implied.
Distributions,Excel Dividends / Distribution,ACCEPTED_CONVENTION,Excel dividend labeling and runtime distribution wiring are documented as definitionally different.,no,no,yes,Phase 10,Use runtime distribution as authoritative and keep DA staging separate.,No mixed flag-state values.
Distributions,DA-Wired / Pre-G20 Staging,GOVERNANCE_BLOCKER,DA-wired distribution remains audit-only pending governance approval.,no,no,yes,Phase 10,Keep clearly separated from the default runtime path.,Not authoritative for parity closeout.
Distributions,Legacy Runtime Distribution,ACCEPTED_CONVENTION,"Legacy distribution remains a reporting lens, not the reviewer-facing primary distribution stream.",no,no,yes,Phase 10,Retain for traceability only.,Separate from default runtime distribution row.
Returns,Equity IRR,WARN,Residual is governed by accepted conventions and remaining reporting-view decisions.,no,no,no,Phase 10,Stakeholder can accept residual or request a reconciliation IRR reporting view.,See Total column for scalar value.
Returns,Reconciliation IRR,MISSING_EVIDENCE,Reconciliation IRR view has not been implemented as a reporting-only layer.,no,yes,no,Phase 10,Open a dedicated reporting-view branch if stakeholders require it.,Missing evidence is explicit.
Returns,MOIC,RUNTIME_BINDING_PENDING,MOIC is not yet exported as a first-class runtime/reporting metric in the current workbook foundations.,yes,no,no,Phase 10,Add a reporting-only MOIC view if the review committee asks for it.,Do not invent a proxy here.
Returns,Average DSCR,WARN,Residual remains documented in prior calibration evidence and is not a new runtime issue in this branch.,no,no,no,Phase 10,Keep as review evidence only.,See Total column for scalar value.
Returns,Minimum DSCR,MISSING_EVIDENCE,Committed Excel evidence does not include a reliable minimum DSCR row for this pack.,no,yes,no,Phase 10,Document as missing evidence rather than a failed model row.,See Total column for scalar value.
IRR Reporting,Equity IRR,GOVERNANCE_REVIEW,"The residual is primarily convention- and presentation-driven: XIRR date anchors, SHL IDC investment-base treatment, and distribution-definition framing all affect the reviewer-facing bridge.",no,no,yes,Phase 10,Escalate to stakeholder review.,This row explains the remaining equity IRR discussion; it does not change runtime IRR logic.
IRR Reporting,Reconciliation IRR,MISSING_EVIDENCE,"A dedicated reconciliation IRR reporting view has not existed in the committed workbook layer until this branch, and there is still no separate approved scalar target to compute against automatically.",no,yes,yes,Phase 10,Escalate to stakeholder review.,Missing evidence is preserved honestly; no proxy IRR is fabricated here.
IRR Reporting,XIRR Date Convention,ACCEPTED_CONVENTION,Excel and model may use different construction-date anchors for equity IRR presentation.,no,no,yes,Phase 10,Keep documented as convention-driven review guidance.,Accept waiver or request phase9-tuho-equity-irr-reporting-view-implementation.
IRR Reporting,Distribution Timing / Definition,ACCEPTED_CONVENTION,Runtime distribution_keur differs from Excel net dividend presentation and DA-wired staging.,no,no,yes,Phase 10,Keep documented as convention-driven review guidance.,Default runtime distribution is authoritative; DA-wired staging is audit-only.
IRR Reporting,SHL IDC Investment-Base Treatment,GOVERNANCE_REVIEW,SHL IDC investment-base treatment is a known convention affecting equity IRR bridge.,no,no,yes,Phase 10,Escalate to stakeholder review.,Stakeholder should accept or request a separate reporting view.
IRR Reporting,Semiannual Timing / COD Framing,GOVERNANCE_REVIEW,Semiannual period framing and COD anchor interpretation can shift reviewer-facing XIRR timing without implying an economic runtime defect.,no,no,yes,Phase 10,Escalate to stakeholder review.,Use this row to explain why small IRR drift can remain acceptable even when runtime parity elsewhere is strong.
