period,date,excel_cashflow_keur,source_sheet,source_cell,cashflow_component,notes
28,2043-07-01,3260.2436,Eq,Eq!AH28,r28=G27+G24,SHL_total=3260.24; SHL_principal=1643.29; SHL_interest=1616.96
29,2044-01-01,2416.5829,Eq,Eq!AI28,r28=G27+G24,SHL_total=2416.58; SHL_principal=839.10; SHL_interest=1577.49
30,2044-07-01,6185.9436,Eq,Eq!AJ28,r28=G27+G24,SHL_total=6185.94; SHL_principal=4659.08; SHL_interest=1526.87
31,2045-01-01,5181.5349,Eq,Eq!AK28,r28=G27+G24,SHL_total=5181.53; SHL_principal=3825.78; SHL_interest=1355.75
32,2045-07-01,6205.6382,Eq,Eq!AL28,r28=G27+G24,SHL_total=6205.64; SHL_principal=5023.77; SHL_interest=1181.87
33,2046-01-01,5098.5696,Eq,Eq!AM28,r28=G27+G24,SHL_total=5098.57; SHL_principal=4099.71; SHL_interest=998.86
34,2046-07-01,6414.4769,Eq,Eq!AN28,r28=G27+G24,SHL_total=6414.48; SHL_principal=5594.54; SHL_interest=819.93
35,2047-01-01,5101.228,Eq,Eq!AO28,r28=G27+G24,SHL_total=5101.23; SHL_principal=4493.33; SHL_interest=607.90
36,2047-07-01,6577.0066,Eq,Eq!AP28,r28=G27+G24,SHL_total=6574.72; SHL_principal=6154.98; SHL_interest=419.74; dividend=2.29
37,2048-01-01,5059.8991,Eq,Eq!AQ28,r28=G27+G24,SHL_total=4603.83; SHL_principal=4425.36; SHL_interest=178.47; dividend=456.07
38,2048-07-01,6755.2449,Eq,Eq!AR28,r28=G27+G24,dividend=6755.24
39,2049-01-01,5039.0397,Eq,Eq!AS28,r28=G27+G24,dividend=5039.04
40,2049-07-01,6898.6884,Eq,Eq!AT28,r28=G27+G24,dividend=6898.69
41,2050-01-01,4618.9376,Eq,Eq!AU28,r28=G27+G24,dividend=4618.94
42,2050-07-01,7023.3616,Eq,Eq!AV28,r28=G27+G24,dividend=7023.36
43,2051-01-01,4614.2751,Eq,Eq!AW28,r28=G27+G24,dividend=4614.28
44,2051-07-01,7188.0839,Eq,Eq!AX28,r28=G27+G24,dividend=7188.08
45,2052-01-01,4722.5734,Eq,Eq!AY28,r28=G27+G24,dividend=4722.57
46,2052-07-01,7411.4233,Eq,Eq!AZ28,r28=G27+G24,dividend=7411.42
47,2053-01-01,4835.1097,Eq,Eq!BA28,r28=G27+G24,dividend=4835.11
48,2053-07-01,7537.5938,Eq,Eq!BB28,r28=G27+G24,dividend=7537.59
49,2054-01-01,4951.9651,Eq,Eq!BC28,r28=G27+G24,dividend=4951.97
50,2054-07-01,7686.3417,Eq,Eq!BD28,r28=G27+G24,dividend=7686.34
51,2055-01-01,5049.7825,Eq,Eq!BE28,r28=G27+G24,dividend=5049.78
52,2055-07-01,7855.1298,Eq,Eq!BF28,r28=G27+G24,dividend=7855.13
53,2056-01-01,5160.3964,Eq,Eq!BG28,r28=G27+G24,dividend=5160.40
54,2056-07-01,8021.7543,Eq,Eq!BH28,r28=G27+G24,dividend=8021.75
55,2057-01-01,5232.9978,Eq,Eq!BI28,r28=G27+G24,dividend=5233.00
56,2057-07-01,8107.1284,Eq,Eq!BJ28,r28=G27+G24,dividend=8107.13
57,2058-01-01,5325.7888,Eq,Eq!BK28,r28=G27+G24,dividend=5325.79
58,2058-07-01,8205.1864,Eq,Eq!BL28,r28=G27+G24,dividend=8205.19
59,2059-01-01,5389.8941,Eq,Eq!BM28,r28=G27+G24,dividend=5389.89
60,2059-07-01,8248.1348,Eq,Eq!BN28,r28=G27+G24,dividend=8248.13
61,2060-01-01,5372.2076,Eq,Eq!BO28,r28=G27+G24,dividend=5372.21
62,2060-07-01,0,Eq,Eq!BP28,r28=G27+G24,zero
63,2061-01-01,0,Eq,Eq!BQ28,r28=G27+G24,zero
64,2061-07-01,0,Eq,Eq!BR28,r28=G27+G24,zero
65,2062-01-01,0,Eq,Eq!BS28,r28=G27+G24,zero
66,2062-07-01,0,Eq,Eq!BT28,r28=G27+G24,zero
67,2063-01-01,0,Eq,Eq!BU28,r28=G27+G24,zero
68,2063-07-01,0,Eq,Eq!BV28,r28=G27+G24,zero
69,2064-01-01,0,Eq,Eq!BW28,r28=G27+G24,zero
70,2064-07-01,0,Eq,Eq!BX28,r28=G27+G24,zero
71,2065-01-01,0,Eq,Eq!BY28,r28=G27+G24,zero
72,2065-07-01,0,Eq,Eq!BZ28,r28=G27+G24,zero
73,2066-01-01,0,Eq,Eq!CA28,r28=G27+G24,zero
74,2066-07-01,0,Eq,Eq!CB28,r28=G27+G24,zero
75,2067-01-01,0,Eq,Eq!CC28,r28=G27+G24,zero
76,2067-07-01,0,Eq,Eq!CD28,r28=G27+G24,zero
77,2068-01-01,0,Eq,Eq!CE28,r28=G27+G24,zero
78,2068-07-01,0,Eq,Eq!CF28,r28=G27+G24,zero
79,2069-01-01,0,Eq,Eq!CG28,r28=G27+G24,zero
80,2069-07-01,0,Eq,Eq!CH28,r28=G27+G24,zero
81,2070-01-01,0,Eq,Eq!CI28,r28=G27+G24,zero
82,2070-07-01,0,Eq,Eq!CJ28,r28=G27+G24,zero
83,2071-01-01,0,Eq,Eq!CK28,r28=G27+G24,zero
84,2071-07-01,0,Eq,Eq!CL28,r28=G27+G24,zero
85,2072-01-01,0,Eq,Eq!CM28,r28=G27+G24,zero
86,2072-07-01,0,Eq,Eq!CN28,r28=G27+G24,zero
87,2073-01-01,0,Eq,Eq!CO28,r28=G27+G24,zero
88,2073-07-01,0,Eq,Eq!CP28,r28=G27+G24,zero
89,2074-01-01,0,Eq,Eq!CQ28,r28=G27+G24,zero
90,2074-07-01,0,Eq,Eq!CR28,r28=G27+G24,zero
91,2075-01-01,0,Eq,Eq!CS28,r28=G27+G24,zero
92,2075-07-01,0,Eq,Eq!CT28,r28=G27+G24,zero
93,2076-01-01,0,Eq,Eq!CU28,r28=G27+G24,zero
94,2076-07-01,0,Eq,Eq!CV28,r28=G27+G24,zero
95,2077-01-01,0,Eq,Eq!CW28,r28=G27+G24,zero
96,2077-07-01,0,Eq,Eq!CX28,r28=G27+G24,zero
97,2078-01-01,0,Eq,Eq!CY28,r28=G27+G24,zero
98,2078-07-01,0,Eq,Eq!CZ28,r28=G27+G24,zero
99,2079-01-01,0,Eq,Eq!DA28,r28=G27+G24,zero
100,2079-07-01,0,Eq,Eq!DB28,r28=G27+G24,zero
101,2080-01-01,0,Eq,Eq!DC28,r28=G27+G24,zero
102,2080-07-01,0,Eq,Eq!DD28,r28=G27+G24,zero
103,2081-01-01,0,Eq,Eq!DE28,r28=G27+G24,zero
104,2081-07-01,0,Eq,Eq!DF28,r28=G27+G24,zero
105,2082-01-01,0,Eq,Eq!DG28,r28=G27+G24,zero
106,2082-07-01,0,Eq,Eq!DH28,r28=G27+G24,zero
107,2083-01-01,0,Eq,Eq!DI28,r28=G27+G24,zero
108,2083-07-01,0,Eq,Eq!DJ28,r28=G27+G24,zero
109,2084-01-01,0,Eq,Eq!DK28,r28=G27+G24,zero
110,2084-07-01,0,Eq,Eq!DL28,r28=G27+G24,zero
111,2085-01-01,0,Eq,Eq!DM28,r28=G27+G24,zero
112,2085-07-01,0,Eq,Eq!DN28,r28=G27+G24,zero
113,2086-01-01,0,Eq,Eq!DO28,r28=G27+G24,zero
114,2086-07-01,0,Eq,Eq!DP28,r28=G27+G24,zero
115,2087-01-01,0,Eq,Eq!DQ28,r28=G27+G24,zero
116,2087-07-01,0,Eq,Eq!DR28,r28=G27+G24,zero
117,2088-01-01,0,Eq,Eq!DS28,r28=G27+G24,zero
118,2088-07-01,0,Eq,Eq!DT28,r28=G27+G24,zero
119,2089-01-01,0,Eq,Eq!DU28,r28=G27+G24,zero
120,2089-07-01,0,Eq,Eq!DV28,r28=G27+G24,zero
121,2090-01-01,0,Eq,Eq!DW28,r28=G27+G24,zero
