period,date,excel_cashflow_keur_if_available,model_shl_plus_dividends_cashflow_keur,model_distribution_keur,model_shl_interest_keur,model_shl_principal_keur,model_wht_keur,model_pik_keur,model_investment_base_keur,delta_keur,likely_difference_driver,notes
32,2045-06-30,MISSING_EVIDENCE,6221.79,6221.79,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
33,2045-12-31,MISSING_EVIDENCE,5811.21,5811.21,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
34,2046-06-30,MISSING_EVIDENCE,6419.49,6419.49,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
35,2046-12-31,MISSING_EVIDENCE,5992.09,5992.09,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
36,2047-06-30,MISSING_EVIDENCE,6570.29,6570.29,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
37,2047-12-31,MISSING_EVIDENCE,6130.06,6130.06,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
38,2048-06-30,MISSING_EVIDENCE,6735.89,6735.89,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
39,2048-12-31,MISSING_EVIDENCE,6247.38,6247.38,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
40,2049-06-30,MISSING_EVIDENCE,6868.64,6868.64,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
41,2049-12-31,MISSING_EVIDENCE,6403.02,6403.02,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
42,2050-06-30,MISSING_EVIDENCE,7018.60,7018.60,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
43,2050-12-31,MISSING_EVIDENCE,6540.23,6540.23,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
44,2051-06-30,MISSING_EVIDENCE,7168.19,7168.19,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
45,2051-12-31,MISSING_EVIDENCE,6677.09,6677.09,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
46,2052-06-30,MISSING_EVIDENCE,7375.59,7375.59,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
47,2052-12-31,MISSING_EVIDENCE,6829.44,6829.44,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
48,2053-06-30,MISSING_EVIDENCE,7485.20,7485.20,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
49,2053-12-31,MISSING_EVIDENCE,6967.13,6967.13,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
50,2054-06-30,MISSING_EVIDENCE,7616.44,7616.44,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
51,2054-12-31,MISSING_EVIDENCE,7087.20,7087.20,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
52,2055-06-30,MISSING_EVIDENCE,7804.73,7804.73,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
53,2055-12-31,MISSING_EVIDENCE,7259.47,7259.47,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
54,2056-06-30,MISSING_EVIDENCE,7951.81,7951.81,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
55,2056-12-31,MISSING_EVIDENCE,7353.73,7353.73,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
56,2057-06-30,MISSING_EVIDENCE,8017.06,8017.06,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
57,2057-12-31,MISSING_EVIDENCE,7453.74,7453.74,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
58,2058-06-30,MISSING_EVIDENCE,8093.73,8093.73,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
59,2058-12-31,MISSING_EVIDENCE,7523.88,7523.88,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
60,2059-06-30,MISSING_EVIDENCE,8114.09,8114.09,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
61,2059-12-31,MISSING_EVIDENCE,7542.51,7542.51,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
62,2060-01-01,MISSING_EVIDENCE,56.12,56.12,0.00,0.00,0.00,0.00,0.00,MISSING_EVIDENCE,MISSING_EVIDENCE,dist_phase
