P_index,period_label,year,half,PnL_R35_TI,PnL_R36_LossN1,PnL_R37_AllocLoss,PnL_R38_LossN,PnL_R39_CarryFwd,PnL_R41_TaxableProfitN,PnL_R43_CIT,CF_R67_CashTax,CF_R40_EBITDA,PL_R24_SeniorInt,PL_R27_SHLInt,Dep_R30_BookDep,Python_EBITDA,Python_tax_keur,Python_cash_tax_R67,Python_taxable_inc,Residual_CIT_gap
P36,yr19H1,19,H1,5003.76,,0,0,0.00,0.00,0.00,0,6735.89,0.00,0.00,1171.75,6735.89,1205.55,0,6771.54,
P37,yr19H2,19,H2,5003.76,,4106.00,0,0.00,5003.76,1811.25,-1811.25,6809.91,0.00,0.00,1171.75,6809.91,1218.88,2424.43,6771.54,+613
P38,yr20H1,20,H1,5155.40,,0,0,0.00,0.00,0.00,0,6868.64,0.00,0.00,1168.51,6868.64,1229.45,0,6944.11,
P39,yr20H2,20,H2,5155.40,,4106.00,0,0.00,5155.40,1871.32,-1871.32,6982.48,0.00,0.00,1168.51,6982.48,1249.94,2479.39,6944.11,+608
P40,yr21H1,21,H1,7037.24,,0,0,0.00,0.00,0.00,0,7018.60,0.00,0.00,1168.51,7018.60,1256.44,0,7096.56,
P41,yr21H2,21,H2,7037.24,,4106.00,0,0.00,7037.24,2554.40,-2554.40,7134.93,0.00,0.00,1168.51,7134.93,1277.38,2533.82,7096.56,-20
P42,yr22H1,22,H1,7202.29,,0,0,0.00,0.00,0.00,0,7168.19,0.00,0.00,1168.51,7168.19,1283.37,0,7248.63,
P43,yr22H2,22,H2,7202.29,,4106.00,0,0.00,7202.29,2614.31,-2614.31,7287.00,0.00,0.00,1168.51,7287.00,1304.75,2588.12,7248.63,-26
P44,yr23H1,23,H1,7426.03,,0,0,0.00,0.00,0.00,0,7375.59,0.00,0.00,1171.75,7375.59,1320.70,0,7418.27,
P45,yr23H2,23,H2,7426.03,,4106.00,0,0.00,7426.03,2688.06,-2688.06,7456.64,0.00,0.00,1171.75,7456.64,1335.29,2655.99,7418.27,-32
P46,yr24H1,24,H1,7552.49,,0,0,0.00,0.00,0.00,0,7485.20,0.00,0.00,1168.51,7485.20,1340.43,0,7570.90,
P47,yr24H2,24,H2,7552.49,,4106.00,0,0.00,7552.49,2741.43,-2741.43,7609.27,0.00,0.00,1168.51,7609.27,1362.76,2703.19,7570.90,-38
P48,yr25H1,25,H1,7701.53,,0,0,0.00,0.00,0.00,0,7616.44,0.00,0.00,1168.51,7616.44,1364.05,0,7704.31,
P49,yr25H2,25,H2,7701.53,,4106.00,0,0.00,7701.53,2795.53,-2795.53,7742.68,0.00,0.00,1168.51,7742.68,1386.78,2750.83,7704.31,-45
P50,yr26H1,26,H1,7870.66,,0,0,0.00,0.00,0.00,0,7804.73,0.00,0.00,1168.51,7804.73,1397.94,0,7895.72,
P51,yr26H2,26,H2,7870.66,,4106.00,0,0.00,7870.66,2856.92,-2856.92,7934.09,0.00,0.00,1168.51,7934.09,1421.23,2819.17,7895.72,-38
P52,yr27H1,27,H1,8037.57,,0,0,0.00,0.00,0.00,0,7951.81,0.00,0.00,1171.75,7951.81,1424.42,0,8000.82,
P53,yr27H2,27,H2,8037.57,,4106.00,0,0.00,8037.57,2909.42,-2909.42,8039.19,0.00,0.00,1171.75,8039.19,1440.15,2864.57,8000.82,-45
P54,yr28H1,28,H1,8123.15,,0,0,0.00,0.00,0.00,0,8017.06,0.00,0.00,1168.51,8017.06,1436.16,0,8111.57,
P55,yr28H2,28,H2,8123.15,,4106.00,0,0.00,8123.15,2948.57,-2948.57,8149.94,0.00,0.00,1168.51,8149.94,1460.08,2896.25,8111.57,-52
P56,yr29H1,29,H1,8221.41,,0,0,0.00,0.00,0.00,0,8093.73,0.00,0.00,1168.51,8093.73,1449.96,0,8189.51,
P57,yr29H2,29,H2,8221.41,,4106.00,0,0.00,8221.41,2984.23,-2984.23,8227.88,0.00,0.00,1168.51,8227.88,1474.11,2924.08,8189.51,-60
P58,yr30H1,30,H1,8264.44,,0,0,0.00,0.00,0.00,0,8114.09,0.00,0.00,1168.51,8114.09,1453.63,0,8210.21,
P59,yr30H2,30,H2,8264.44,,4106.00,0,0.00,8264.44,2999.85,-2999.85,8248.58,0.00,0.00,1168.51,8248.58,1477.84,2931.47,8210.21,-68
