section,metric,excel_total,model_total,delta_total,status,classification,root_cause,recommended_action,governance_impact,notes,owner,requires_stakeholder_decision,requires_runtime_change,expected_roadmap_phase
Returns,Equity IRR,0.1161,0.11321363695747841,-0.0028863630425215864,REVIEW,WARN,Residual is governed by accepted conventions and remaining reporting-view decisions.,Stakeholder can accept residual or request a reconciliation IRR reporting view.,G20 stakeholder acceptance,See Total column for scalar value.,Finance / Governance,no,no,Phase 10
Returns,Reconciliation IRR,MISSING_REVIEW_SCALAR,MISSING_REVIEW_SCALAR,N/A,REVIEW,MISSING_REVIEW_SCALAR,Reconciliation IRR view has not been implemented as a reporting-only layer.,Open a dedicated reporting-view branch if stakeholders require it.,Stakeholder decision pending,Missing reviewer scalar is explicit.,Finance / Governance,no,no,Phase 10
Returns,MOIC,MISSING_REVIEW_SCALAR,MISSING_REVIEW_SCALAR,N/A,REVIEW,RUNTIME_BINDING_PENDING,MOIC is not yet exported as a first-class runtime/reporting metric in the current workbook foundations.,Add a reporting-only MOIC view if the review committee asks for it.,None,Do not invent a proxy here.,Finance / Governance,no,yes,Phase 10
Returns,Average DSCR,1.451,1.3785647255425093,-0.07243527445749076,REVIEW,WARN,Residual remains documented in prior calibration evidence and is not a new runtime issue in this branch.,Keep as review evidence only.,G20 support evidence,See Total column for scalar value.,Finance / Governance,no,no,Phase 10
Returns,Minimum DSCR,MISSING_EXCEL_EVIDENCE,1.162014679369489,N/A,REVIEW,MISSING_EXCEL_EVIDENCE,Committed Excel evidence does not include a reliable minimum DSCR row for this pack.,Document as missing Excel-side evidence rather than a failed model row.,Review only,See Total column for scalar value.,Finance / Governance,no,no,Phase 10
IRR Reporting,Project IRR,0.094700,0.094102,-0.000598,OK,PASS,Runtime project IRR remains within the already documented closeout tolerance versus Excel.,None,None,This is not a runtime-calculation issue in the current review pack.,Finance / Governance,no,no,Phase 10
IRR Reporting,Equity IRR,0.116100,0.113214,-0.002886,REVIEW,GOVERNANCE_REVIEW,"The residual is primarily convention- and presentation-driven: XIRR date anchors, SHL IDC investment-base treatment, and distribution-definition framing all affect the reviewer-facing bridge.",Escalate to stakeholder review.,Stakeholder acceptance of residual IRR interpretation remains required before G20 can be treated as review-complete.,This row explains the remaining equity IRR discussion; it does not change runtime IRR logic.,Finance / Governance,yes,no,Phase 10
IRR Reporting,Reconciliation IRR,MISSING_REVIEW_SCALAR,MISSING_REVIEW_SCALAR,N/A,REVIEW,MISSING_REVIEW_SCALAR,"A dedicated reconciliation IRR reporting view has not existed in the committed workbook layer until this branch, and there is still no separate approved scalar target to compute against automatically.",Escalate to stakeholder review.,Stakeholders can waive this view or request a later reporting-only implementation with more explicit timing assumptions.,Missing reviewer scalar is preserved honestly; no proxy IRR is fabricated here.,Finance / Governance,yes,no,Phase 10
IRR Reporting,XIRR Date Convention,Excel construction-date / workbook-specific anchor,runtime period-end framing,presentation-only,REVIEW,ACCEPTED_CONVENTION,Excel and model may use different construction-date anchors for equity IRR presentation.,Keep documented as convention-driven review guidance.,Presentation and closeout interpretation only; no runtime formula override is implied.,Accept waiver or request phase9-tuho-equity-irr-reporting-view-implementation.,Finance / Governance,yes,no,Phase 10
IRR Reporting,Distribution Timing / Definition,Excel dividends / distribution presentation,runtime distribution_keur,definition-only,REVIEW,ACCEPTED_CONVENTION,Runtime distribution_keur differs from Excel net dividend presentation and DA-wired staging.,Keep documented as convention-driven review guidance.,Reviewers need to agree which lens to present in signoff materials.,Default runtime distribution is authoritative; DA-wired staging is audit-only.,Finance / Governance,yes,no,Phase 10
IRR Reporting,SHL IDC Investment-Base Treatment,Excel convention baseline,documented runtime treatment,convention-sensitive,REVIEW,GOVERNANCE_REVIEW,SHL IDC investment-base treatment is a known convention affecting equity IRR bridge.,Escalate to stakeholder review.,This convention affects how equity IRR residuals are explained to IC and lender reviewers.,Stakeholder should accept or request a separate reporting view.,Finance / Governance,yes,no,Phase 10
IRR Reporting,Semiannual Timing / COD Framing,semiannual workbook horizon,semiannual runtime horizon,timing-sensitive,REVIEW,GOVERNANCE_REVIEW,Semiannual period framing and COD anchor interpretation can shift reviewer-facing XIRR timing without implying an economic runtime defect.,Escalate to stakeholder review.,Requires reviewers to distinguish timing conventions from actual model behavior.,Use this row to explain why small IRR drift can remain acceptable even when runtime parity elsewhere is strong.,Finance / Governance,yes,no,Phase 10
