=== R67 Summary ===
Years 13-30 R67: -43512.36
Excel target:   -38240.90
Residual:       -5271.46

=== Period detail P24-P59 ===
P24 | yr13H1 | ebitda=   6140.28 | tax_keur=   720.46 | cash_tax=      0.00 | r67_diag=      0.00 | sen_int=   364.50 | shl_int=  1495.42 | book_dep=  1168.51
P45 | yr23H2 | ebitda=   7456.64 | tax_keur=  1335.29 | cash_tax=   2655.99 | r67_diag=  -2655.99 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1184.63
P46 | yr24H1 | ebitda=   7485.20 | tax_keur=  1340.43 | cash_tax=      0.00 | r67_diag=      0.00 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1168.51
P47 | yr24H2 | ebitda=   7609.27 | tax_keur=  1362.76 | cash_tax=   2703.19 | r67_diag=  -2703.19 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1187.88
P48 | yr25H1 | ebitda=   7616.44 | tax_keur=  1364.05 | cash_tax=      0.00 | r67_diag=      0.00 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1168.51
P49 | yr25H2 | ebitda=   7742.68 | tax_keur=  1386.78 | cash_tax=   2750.83 | r67_diag=  -2750.83 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1187.88
P50 | yr26H1 | ebitda=   7804.73 | tax_keur=  1397.94 | cash_tax=      0.00 | r67_diag=      0.00 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1168.51
P51 | yr26H2 | ebitda=   7934.09 | tax_keur=  1421.23 | cash_tax=   2819.17 | r67_diag=  -2819.17 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1187.88
P52 | yr27H1 | ebitda=   7951.81 | tax_keur=  1424.42 | cash_tax=      0.00 | r67_diag=      0.00 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1171.75
P53 | yr27H2 | ebitda=   8039.19 | tax_keur=  1440.15 | cash_tax=   2864.57 | r67_diag=  -2864.57 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1184.63
P54 | yr28H1 | ebitda=   8017.06 | tax_keur=  1436.16 | cash_tax=      0.00 | r67_diag=      0.00 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1168.51
P55 | yr28H2 | ebitda=   8149.94 | tax_keur=  1460.08 | cash_tax=   2896.25 | r67_diag=  -2896.25 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1187.88
P56 | yr29H1 | ebitda=   8093.73 | tax_keur=  1449.96 | cash_tax=      0.00 | r67_diag=      0.00 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1168.51
P57 | yr29H2 | ebitda=   8227.88 | tax_keur=  1474.11 | cash_tax=   2924.08 | r67_diag=  -2924.08 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1187.88
P58 | yr30H1 | ebitda=   8114.09 | tax_keur=  1453.63 | cash_tax=      0.00 | r67_diag=      0.00 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1168.51
P59 | yr30H2 | ebitda=   8248.58 | tax_keur=  1477.84 | cash_tax=   2931.47 | r67_diag=  -2931.47 | sen_int=     0.00 | shl_int=     0.00 | book_dep=  1187.88
