canonical_field_id,domain,concept,registry_field_id,snapshot_key,engine_path,runtime_binding_status,excel_mapping_status,runtime_validation_status,scenario_mapping_status,registry_excel_hint_tuho,registry_excel_hint_oborovo,verified_tuho_input_cell,verified_oborovo_input_cell,binding_status,kind,scenario_policy,source_of_truth,persisted,editable,runtime_only
registry.capex.F.bank_fees,registry,Bank Fees,capex.F.bank_fees,capex_bank_fees_keur,capex.bank_fees_keur,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,C.17 / Financing!BankFees,C.17 / Financing!BankFees,,,TEMPLATE_LOCKED,TEMPLATE_INPUT,NOT_ALLOWED,TEMPLATE,True,,False
registry.capex.F.commitment_fees,registry,Commitment Fees,capex.F.commitment_fees,capex_commitment_fees_keur,capex.commitment_fees_keur,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,C.17 / Financing!CommFees,C.17 / Financing!CommFees,,,TEMPLATE_LOCKED,TEMPLATE_INPUT,NOT_ALLOWED,TEMPLATE,True,,False
registry.capex.F.other_financial,registry,Other Financial,capex.F.other_financial,capex_other_financial_keur,capex.other_financial_keur,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,C.17 / Financing!OtherFin,C.17 / Financing!OtherFin,,,TEMPLATE_LOCKED,TEMPLATE_INPUT,NOT_ALLOWED,TEMPLATE,True,,False
registry.capex.F.vat_costs,registry,VAT / Recoverable Costs,capex.F.vat_costs,capex_vat_costs_keur,capex.vat_costs_keur,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,C.17 / Financing!VAT,C.17 / Financing!VAT,,,TEMPLATE_LOCKED,TEMPLATE_INPUT,NOT_ALLOWED,TEMPLATE,True,,False
registry.capex.R.reserve_accounts,registry,Reserve Accounts,capex.R.reserve_accounts,capex_reserve_accounts_keur,capex.reserve_accounts_keur,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,C.18 / Financing!Reserves,C.18 / Financing!Reserves,,,DISPLAY_ONLY,DERIVED_DISPLAY,NOT_ALLOWED,ENGINE,True,,False
registry.capex.summary.total,registry,Total CAPEX,capex.summary.total,total_capex_keur,,DERIVED_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,PARTIAL,DERIVED_DISPLAY,NOT_ALLOWED,DERIVED_UI,True,,False
registry.opex.lines.technical_management,registry,Technical Management,opex.lines.technical_management,opex_technical_management_y1_keur,opex[technical_management].y1_amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,FIELD_SPECIFIC_E2E_PROVEN,SOURCE_COORDINATE_UNRESOLVED,Inputs!OPEX-B.01,Inputs!OPEX-B.01,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.opex.lines.om_preventive,registry,O&M Preventive & Corrective,opex.lines.om_preventive,opex_o_and_m_preventive_and_corrective_y1_keur,opex[o_and_m_preventive_and_corrective].y1_amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,Inputs!OPEX-B.02,Inputs!OPEX-B.02,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.opex.lines.site_maintenance,registry,Site Maintenance,opex.lines.site_maintenance,opex_maintain_site_y1_keur,opex[maintain_site].y1_amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,Inputs!OPEX-B.03,Inputs!OPEX-B.03,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.opex.lines.cleaning_materials,registry,Cleaning & Materials,opex.lines.cleaning_materials,opex_clean_material_y1_keur,opex[clean_material].y1_amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,Inputs!OPEX-B.04,Inputs!OPEX-B.04,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.opex.lines.security,registry,Security,opex.lines.security,opex_security_y1_keur,opex[security].y1_amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,Inputs!OPEX-B.05,Inputs!OPEX-B.05,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.opex.lines.insurance,registry,Insurance,opex.lines.insurance,opex_insurance_y1_keur,opex[insurance].y1_amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,Inputs!OPEX-B.06,Inputs!OPEX-B.06,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.opex.lines.lease_property_tax,registry,Lease & Property Tax,opex.lines.lease_property_tax,opex_lease_and_property_tax_y1_keur,opex[lease_and_property_tax].y1_amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,Inputs!OPEX-B.07,Inputs!OPEX-B.07,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.opex.lines.power_expenses,registry,Power Expenses,opex.lines.power_expenses,opex_power_expenses_y1_keur,opex[power_expenses].y1_amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,Inputs!OPEX-B.08,Inputs!OPEX-B.08,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.opex.lines.audit_accounting_legal,registry,"Audit, Accounting & Legal",opex.lines.audit_accounting_legal,opex_audit_and_accounting_and_legal_y1_keur,opex[audit_and_accounting_and_legal].y1_amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,Inputs!OPEX-B.09,Inputs!OPEX-B.09,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.opex.lines.bank_fees,registry,Bank Fees (OPEX),opex.lines.bank_fees,opex_bank_fees_opex_y1_keur,opex[bank_fees_opex].y1_amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,Inputs!OPEX-B.10,Inputs!OPEX-B.10,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.opex.lines.environmental_social,registry,Environmental & Social Management,opex.lines.environmental_social,opex_environmental_and_social_management_y1_keur,opex[environmental_and_social_management].y1_amount_keur,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,Inputs!OPEX-B.11,Inputs!OPEX-B.11,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.opex.lines.contingencies,registry,Contingencies (OPEX),opex.lines.contingencies,opex_contingencies_y1_keur,,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,Inputs!OPEX-B.13,Inputs!OPEX-B.13,,,DISPLAY_ONLY,DERIVED_DISPLAY,NOT_ALLOWED,DERIVED_UI,True,,False
registry.opex.summary.total_y1,registry,Total OPEX Y1,opex.summary.total_y1,opex_y1_keur,,DERIVED_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,PARTIAL,DERIVED_DISPLAY,NOT_ALLOWED,DERIVED_UI,True,,False
registry.revenue.ppa.base_tariff,registry,Base Tariff,revenue.ppa.base_tariff,rev_ppa_base_tariff,revenue.ppa_base_tariff,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,Inputs!Revenue!B4,Inputs!Revenue!B4,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.revenue.ppa.index,registry,PPA Escalation Index,revenue.ppa.index,rev_ppa_index,revenue.ppa_index,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,Inputs!Revenue!B5,Inputs!Revenue!B5,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.revenue.ppa.term_years,registry,PPA Term,revenue.ppa.term_years,rev_ppa_term_years,revenue.ppa_term_years,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,Inputs!Revenue!B6,Inputs!Revenue!B6,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.revenue.ppa.production_share,registry,Production Share,revenue.ppa.production_share,rev_ppa_production_share,revenue.ppa_production_share,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.revenue.ppa.tariff_legacy,registry,Tariff (legacy key),revenue.ppa.tariff_legacy,tariff_eur_mwh,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,PARTIAL,INPUT,NOT_ALLOWED,INPUT_SET,True,,False
registry.revenue.ppa.ppa_term_legacy,registry,PPA Term (legacy key),revenue.ppa.ppa_term_legacy,ppa_term_years,,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,PARTIAL,INPUT,NOT_ALLOWED,INPUT_SET,True,,False
registry.revenue.balancing.cost,registry,Balancing Cost,revenue.balancing.cost,rev_balancing_cost,revenue.balancing_cost_eur_per_mwh,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.revenue.balancing.co2_enabled,registry,CO2 Revenue Enabled,revenue.balancing.co2_enabled,rev_co2_enabled,revenue.co2_enabled,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.revenue.balancing.co2_price,registry,CO2 Price,revenue.balancing.co2_price,rev_co2_price,revenue.co2_price_eur,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.debt.senior.gearing_pct,registry,Gearing,debt.senior.gearing_pct,gearing_pct,financing.gearing_ratio,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,Inputs!Debt!B4,Inputs!Debt!B4,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.debt.senior.target_dscr,registry,Target DSCR,debt.senior.target_dscr,target_dscr,financing.target_dscr,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,Inputs!Debt!B5,Inputs!Debt!B5,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.debt.senior.interest_rate_pct,registry,All-in Interest Rate,debt.senior.interest_rate_pct,interest_rate_pct,financing.margin_bps,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,Inputs!Debt!B6,Inputs!Debt!B6,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.debt.senior.tenor_years,registry,Tenor,debt.senior.tenor_years,tenor_years,financing.senior_tenor_years,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,Inputs!Debt!B7,Inputs!Debt!B7,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.tax.assumptions.cit_rate_pct,registry,CIT Rate,tax.assumptions.cit_rate_pct,tax_corporate_rate_pct,tax.corporate_rate,RUNTIME_FULLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,DISPLAY_ONLY_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
registry.tax.assumptions.loss_carryforward_years,registry,Loss Carryforward Years,tax.assumptions.loss_carryforward_years,tax_loss_carryforward_years,tax.loss_carryforward_years,RUNTIME_FULLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,,,,,BOUND,INPUT,OVERRIDE,INPUT_SET,True,,False
engine.debt_sculpting.schedule,engine,Engine-owned â€” senior-debt sculpting schedule (DSCR-bound),,,financing.sculpting_schedule,DERIVED_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,,,,ENGINE_OWNED,,ENGINE_OWNED,False,False,True
engine.shl_distribution.waterfall,engine,Engine-owned â€” SHL distribution waterfall,,,waterfall.shl_distribution,DERIVED_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,,,,ENGINE_OWNED,,ENGINE_OWNED,False,False,True
engine.dscr.lockup,engine,Engine-owned â€” DSCR and lockup covenants,,,covenants.dscr_lockup,DERIVED_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,,,,ENGINE_OWNED,,ENGINE_OWNED,False,False,True
engine.tax.loss_carryforward_motion,engine,Engine-owned â€” per-period tax-loss carryforward roll,,,tax.loss_carryforward_motion,DERIVED_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,,,,ENGINE_OWNED,,ENGINE_OWNED,False,False,True
engine.frozen_calibrated.toggle,engine,Engine-owned boundary â€” frozen-calibrated vs dynamic debt sizing,,,financing.use_frozen_excel_senior_debt_schedule,DERIVED_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,,,,ENGINE_OWNED,,ENGINE_OWNED,False,False,True
engine.capex.idc,engine,Engine-owned â€” interest during construction (IDC),capex.F.idc,,capex.idc_keur,DERIVED_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,,,,ENGINE_OWNED,,ENGINE_OWNED,False,False,True
engine.capex.reserve_accounts,engine,Engine-owned â€” reserve accounts funding (DSRA/MFFR),capex.R.reserve_accounts,,capex.reserve_accounts_keur,DERIVED_ONLY,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,,,,,,ENGINE_OWNED,,ENGINE_OWNED,False,False,True
ui.project.project_company,ui,Project Company (display only),,,,DISPLAY_ONLY,NOT_APPLICABLE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,DISPLAY_ONLY,,DISPLAY_ONLY,False,False,False
ui.project.project_code,ui,Project Code (display only),,,,DISPLAY_ONLY,NOT_APPLICABLE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,DISPLAY_ONLY,,DISPLAY_ONLY,False,False,False
