canonical_field_id,runtime_binding_status,excel_mapping_status,runtime_validation_status,scenario_mapping_status,registry_field_id,snapshot_key,engine_path,registry_excel_hint_tuho,registry_excel_hint_oborovo,verified_tuho_input_cell,verified_oborovo_input_cell,verified_tuho_scenario_cell,verified_tuho_scenario_range,verified_oborovo_scenario_cell,verified_oborovo_scenario_range,test_evidence,test_evidence_scope,adapter_path,adapter_evidence_type,projectinputs_path
registry.project_setup.technical.horizon_years,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,project_setup.technical.horizon_years,horizon_years,info.horizon_years,Inputs!H11,Inputs!H11,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_resolve_user_inputs,INLINE_LOGIC,ProjectInputs.info.horizon_years
registry.capex.C.epc_contract,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.C.epc_contract,capex_epc_contract_keur,capex.epc_contract.amount_keur,C.02.01,C.02.01,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.epc_contract.amount_keur
registry.capex.C.production_units,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.C.production_units,capex_production_units_keur,capex.production_units.amount_keur,C.01.01,C.01.01,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.production_units.amount_keur
registry.capex.C.epc_other,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.C.epc_other,capex_epc_other_keur,capex.epc_other.amount_keur,C.02.02,C.02.02,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.epc_other.amount_keur
registry.capex.C.grid_connection,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.C.grid_connection,capex_grid_connection_keur,capex.grid_connection.amount_keur,C.03.01,C.03.01,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.grid_connection.amount_keur
registry.capex.C.ops_preparation,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.C.ops_preparation,capex_ops_prep_keur,capex.ops_prep.amount_keur,C.15.02,C.15.02,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.ops_prep.amount_keur
registry.capex.C.insurances,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.C.insurances,capex_insurances_keur,capex.insurances.amount_keur,C.06.01,C.06.01,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.insurances.amount_keur
registry.capex.C.lease_tax,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.C.lease_tax,capex_lease_tax_keur,capex.lease_tax.amount_keur,C.07.01,C.07.01,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.lease_tax.amount_keur
registry.capex.C.construction_mgmt_a,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.C.construction_mgmt_a,capex_construction_mgmt_a_keur,capex.construction_mgmt_a.amount_keur,C.09.01,C.09.01,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.construction_mgmt_a.amount_keur
registry.capex.C.commissioning,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.C.commissioning,capex_commissioning_keur,capex.commissioning.amount_keur,C.10.01,C.10.01,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.commissioning.amount_keur
registry.capex.C.contingencies,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,capex.C.contingencies,capex_contingencies_keur,capex.contingencies.amount_keur,C.13.01,C.13.01,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.capex.C.taxes,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.C.taxes,capex_taxes_keur,capex.taxes.amount_keur,C.14.01,C.14.01,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.taxes.amount_keur
registry.capex.D.project_acquisition,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.D.project_acquisition,capex_project_acquisition_keur,capex.project_acquisition.amount_keur,C.15.01,C.15.01,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.project_acquisition.amount_keur
registry.capex.D.project_rights,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.D.project_rights,capex_project_rights_keur,capex.project_rights.amount_keur,C.16.01,C.16.01,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.project_rights.amount_keur
registry.capex.D.audit_legal,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.D.audit_legal,capex_audit_legal_keur,capex.audit_legal.amount_keur,C.11.01,C.11.01,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.audit_legal.amount_keur
registry.capex.D.construction_mgmt_b,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,capex.D.construction_mgmt_b,capex_construction_mgmt_b_keur,capex.construction_mgmt_b.amount_keur,C.09.02,C.09.02,,,,,,,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,ProjectInputs.capex.construction_mgmt_b.amount_keur
registry.capex.F.idc,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,capex.F.idc,capex_idc_keur,capex.idc_keur,C.17 / Financing!IDC,C.17 / Financing!IDC,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.capex.F.bank_fees,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,capex.F.bank_fees,capex_bank_fees_keur,capex.bank_fees_keur,C.17 / Financing!BankFees,C.17 / Financing!BankFees,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.capex.F.commitment_fees,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,capex.F.commitment_fees,capex_commitment_fees_keur,capex.commitment_fees_keur,C.17 / Financing!CommFees,C.17 / Financing!CommFees,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.capex.F.other_financial,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,capex.F.other_financial,capex_other_financial_keur,capex.other_financial_keur,C.17 / Financing!OtherFin,C.17 / Financing!OtherFin,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.capex.F.vat_costs,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,capex.F.vat_costs,capex_vat_costs_keur,capex.vat_costs_keur,C.17 / Financing!VAT,C.17 / Financing!VAT,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.capex.R.reserve_accounts,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,capex.R.reserve_accounts,capex_reserve_accounts_keur,capex.reserve_accounts_keur,C.18 / Financing!Reserves,C.18 / Financing!Reserves,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.capex.summary.total,DERIVED_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,capex.summary.total,total_capex_keur,,,,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.opex.lines.technical_management,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,FIELD_SPECIFIC_E2E_PROVEN,SOURCE_COORDINATE_UNRESOLVED,opex.lines.technical_management,opex_technical_management_y1_keur,opex[technical_management].y1_amount_keur,Inputs!OPEX-B.01,Inputs!OPEX-B.01,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,FIELD-SPECIFIC-E2E,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,ProjectInputs.opex[technical_management].y1_amount_keur
registry.opex.lines.om_preventive,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,opex.lines.om_preventive,opex_o_and_m_preventive_and_corrective_y1_keur,opex[o_and_m_preventive_and_corrective].y1_amount_keur,Inputs!OPEX-B.02,Inputs!OPEX-B.02,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,ProjectInputs.opex[o_and_m_preventive_and_corrective].y1_amount_keur
registry.opex.lines.site_maintenance,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,opex.lines.site_maintenance,opex_maintain_site_y1_keur,opex[maintain_site].y1_amount_keur,Inputs!OPEX-B.03,Inputs!OPEX-B.03,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,ProjectInputs.opex[maintain_site].y1_amount_keur
registry.opex.lines.cleaning_materials,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,opex.lines.cleaning_materials,opex_clean_material_y1_keur,opex[clean_material].y1_amount_keur,Inputs!OPEX-B.04,Inputs!OPEX-B.04,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,ProjectInputs.opex[clean_material].y1_amount_keur
registry.opex.lines.security,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,opex.lines.security,opex_security_y1_keur,opex[security].y1_amount_keur,Inputs!OPEX-B.05,Inputs!OPEX-B.05,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,ProjectInputs.opex[security].y1_amount_keur
registry.opex.lines.insurance,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,opex.lines.insurance,opex_insurance_y1_keur,opex[insurance].y1_amount_keur,Inputs!OPEX-B.06,Inputs!OPEX-B.06,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,ProjectInputs.opex[insurance].y1_amount_keur
registry.opex.lines.lease_property_tax,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,opex.lines.lease_property_tax,opex_lease_and_property_tax_y1_keur,opex[lease_and_property_tax].y1_amount_keur,Inputs!OPEX-B.07,Inputs!OPEX-B.07,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,ProjectInputs.opex[lease_and_property_tax].y1_amount_keur
registry.opex.lines.power_expenses,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,opex.lines.power_expenses,opex_power_expenses_y1_keur,opex[power_expenses].y1_amount_keur,Inputs!OPEX-B.08,Inputs!OPEX-B.08,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,ProjectInputs.opex[power_expenses].y1_amount_keur
registry.opex.lines.audit_accounting_legal,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,opex.lines.audit_accounting_legal,opex_audit_and_accounting_and_legal_y1_keur,opex[audit_and_accounting_and_legal].y1_amount_keur,Inputs!OPEX-B.09,Inputs!OPEX-B.09,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,ProjectInputs.opex[audit_and_accounting_and_legal].y1_amount_keur
registry.opex.lines.bank_fees,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,opex.lines.bank_fees,opex_bank_fees_opex_y1_keur,opex[bank_fees_opex].y1_amount_keur,Inputs!OPEX-B.10,Inputs!OPEX-B.10,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,ProjectInputs.opex[bank_fees_opex].y1_amount_keur
registry.opex.lines.environmental_social,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,opex.lines.environmental_social,opex_environmental_and_social_management_y1_keur,opex[environmental_and_social_management].y1_amount_keur,Inputs!OPEX-B.11,Inputs!OPEX-B.11,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestAdditionalOPEX::test_maintenance_field_save,SHARED-PIPELINE,app/services/opex_sub_lines_integration.py::fold_sub_lines_into_opex,SERVICE_PIPELINE,ProjectInputs.opex[environmental_and_social_management].y1_amount_keur
registry.opex.lines.contingencies,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,opex.lines.contingencies,opex_contingencies_y1_keur,,Inputs!OPEX-B.13,Inputs!OPEX-B.13,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.opex.summary.total_y1,DERIVED_ONLY,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,opex.summary.total_y1,opex_y1_keur,,,,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.revenue.ppa.base_tariff,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,revenue.ppa.base_tariff,rev_ppa_base_tariff,revenue.ppa_base_tariff,Inputs!Revenue!B4,Inputs!Revenue!B4,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_set_revenue_tariff,EXACT_SYMBOL,ProjectInputs.revenue.ppa_base_tariff
registry.revenue.ppa.index,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,revenue.ppa.index,rev_ppa_index,revenue.ppa_index,Inputs!Revenue!B5,Inputs!Revenue!B5,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.revenue.ppa.term_years,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,revenue.ppa.term_years,rev_ppa_term_years,revenue.ppa_term_years,Inputs!Revenue!B6,Inputs!Revenue!B6,,,,,,,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,app/input_adapter.py::_set_revenue_ppa_term,EXACT_SYMBOL,ProjectInputs.revenue.ppa_term_years
registry.revenue.ppa.production_share,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,revenue.ppa.production_share,rev_ppa_production_share,revenue.ppa_production_share,,,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.revenue.ppa.indexation_policy,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,revenue.ppa.indexation_policy,rev_ppa_indexation_start_policy,revenue.ppa_indexation_start_policy,,Inputs!Revenue!B7,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.revenue.ppa.indexation_start_date,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,revenue.ppa.indexation_start_date,rev_ppa_indexation_start_date,revenue.ppa_indexation_start_date,,,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.revenue.ppa.tariff_legacy,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,revenue.ppa.tariff_legacy,tariff_eur_mwh,,,,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.revenue.ppa.ppa_term_legacy,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,revenue.ppa.ppa_term_legacy,ppa_term_years,,,,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
registry.revenue.balancing.merchant_pct,RUNTIME_PARTIALLY_BOUND,SOURCE_COORDINATE_UNRESOLVED,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,revenue.balancing.merchant_pct,rev_merchant_balancing_pct,revenue.balancing_cost_pv,,Inputs!D114,,,,,,,NO_TEST_EVIDENCE,NONE,UNRESOLVED,UNRESOLVED,UNRESOLVED
