pack_id,canonical_field_id,mapping_type,confidence,evidence,review_note
opex.lines.site_maintenance,registry.opex.lines.site_maintenance,EXACT,CONFIRMED,registry FieldSpec.opex.lines.site_maintenance (engine_path opex[maintain_site].y1_amount_keur),Direct match
opex.lines.cleaning_materials,registry.opex.lines.cleaning_materials,EXACT,CONFIRMED,registry FieldSpec.opex.lines.cleaning_materials (engine_path opex[clean_material].y1_amount_keur),Direct match
opex.lines.security,registry.opex.lines.security,EXACT,CONFIRMED,registry FieldSpec.opex.lines.security (engine_path opex[security].y1_amount_keur),Direct match
opex.lines.insurance,registry.opex.lines.insurance,EXACT,CONFIRMED,registry FieldSpec.opex.lines.insurance (engine_path opex[insurance].y1_amount_keur),Direct match
opex.lines.lease_property_tax,registry.opex.lines.lease_property_tax,EXACT,CONFIRMED,registry FieldSpec.opex.lines.lease_property_tax (engine_path opex[lease_and_property_tax].y1_amount_keur),Direct match
opex.lines.power_expenses,registry.opex.lines.power_expenses,EXACT,CONFIRMED,registry FieldSpec.opex.lines.power_expenses (engine_path opex[power_expenses].y1_amount_keur),Direct match
opex.lines.audit_accounting_legal,registry.opex.lines.audit_accounting_legal,EXACT,CONFIRMED,registry FieldSpec.opex.lines.audit_accounting_legal (engine_path opex[audit_and_accounting_and_legal].y1_amount_keur),Direct match
opex.lines.bank_fees,registry.opex.lines.bank_fees,EXACT,CONFIRMED,registry FieldSpec.opex.lines.bank_fees (engine_path opex[bank_fees_opex].y1_amount_keur),Direct match
opex.lines.environmental_social,registry.opex.lines.environmental_social,EXACT,CONFIRMED,registry FieldSpec.opex.lines.environmental_social (engine_path opex[environmental_and_social_management].y1_amount_keur),Direct match
opex.lines.contingencies,registry.opex.lines.contingencies,EXACT,CONFIRMED,registry FieldSpec.opex.lines.contingencies (DISPLAY_ONLY),Display-only (engine computes from B-line)
opex.summary.total_y1,registry.opex.summary.total_y1,EXACT,CONFIRMED,registry FieldSpec.opex.summary.total_y1 (PARTIAL),Display computed from line items
revenue.ppa.base_tariff,registry.revenue.ppa.base_tariff,EXACT,CONFIRMED,registry FieldSpec.revenue.ppa.base_tariff (engine_path revenue.ppa_base_tariff),Direct match
revenue.ppa.index,registry.revenue.ppa.index,EXACT,CONFIRMED,registry FieldSpec.revenue.ppa.index,Direct match
revenue.ppa.term_years,registry.revenue.ppa.term_years,EXACT,CONFIRMED,registry FieldSpec.revenue.ppa.term_years,Direct match
revenue.ppa.production_share,registry.revenue.ppa.production_share,EXACT,CONFIRMED,registry FieldSpec.revenue.ppa.production_share,Direct match
revenue.ppa.tariff_legacy,registry.revenue.ppa.tariff_legacy,LEGACY_SUPERSEDED,CONFIRMED,registry FieldSpec.revenue.ppa.tariff_legacy (PARTIAL); superseded by revenue.ppa.base_tariff,Legacy; not the active PPA tariff
revenue.ppa.ppa_term_legacy,registry.revenue.ppa.ppa_term_legacy,LEGACY_SUPERSEDED,CONFIRMED,registry FieldSpec.revenue.ppa.ppa_term_legacy (PARTIAL); superseded by revenue.ppa.term_years,Legacy; not the active PPA term
revenue.balancing.cost,registry.revenue.balancing.cost,EXACT,CONFIRMED,registry FieldSpec.revenue.balancing.cost (engine_path revenue.balancing_cost_eur_per_mwh),Direct match
revenue.balancing.co2_enabled,registry.revenue.balancing.co2_enabled,EXACT,CONFIRMED,registry FieldSpec.revenue.balancing.co2_enabled,Direct match
revenue.balancing.co2_price,registry.revenue.balancing.co2_price,EXACT,CONFIRMED,registry FieldSpec.revenue.balancing.co2_price (engine_path revenue.co2_price_eur),Direct match
debt.senior.gearing_pct,registry.debt.senior.gearing_pct,EXACT,CONFIRMED,registry FieldSpec.debt.senior.gearing_pct (engine_path financing.gearing_ratio),Direct match
debt.senior.target_dscr,registry.debt.senior.target_dscr,EXACT,CONFIRMED,registry FieldSpec.debt.senior.target_dscr (engine_path financing.target_dscr),Direct match
debt.senior.interest_rate_pct,registry.debt.senior.interest_rate_pct,EXACT,CONFIRMED,"registry FieldSpec.debt.senior.interest_rate_pct (engine_path financing.margin_bps; all-in rate stored as %, adapter converts to margin_bps)",Snapshot stores all-in rate as %; engine stores margin_bps
debt.senior.tenor_years,registry.debt.senior.tenor_years,EXACT,CONFIRMED,registry FieldSpec.debt.senior.tenor_years (engine_path financing.senior_tenor_years),Direct match
tax.cit_rate_pct,registry.tax.assumptions.cit_rate_pct,EXACT,CONFIRMED,registry FieldSpec.tax.assumptions.cit_rate_pct (engine_path tax.corporate_rate),Direct match
tax.loss_carryforward_years,registry.tax.assumptions.loss_carryforward_years,EXACT,CONFIRMED,registry FieldSpec.tax.assumptions.loss_carryforward_years,Direct match
project.project_company,ui.project.project_company,DISPLAY_ONLY,CONFIRMED,Inputs!A3 (pack source); no registry FieldSpec; display only,Workbook label; not in registry; display only
project.project_code,ui.project.project_code,DISPLAY_ONLY,CONFIRMED,Inputs!A4 (pack source); no registry FieldSpec; display only,Workbook label; not in registry; display only
project.scenario,registry.project_setup.identity.scenario,EXACT,CONFIRMED,registry FieldSpec.project_setup.identity.scenario (PARTIAL),Display only; active scenario label
debt.sizing.frozen_calibrated,engine.frozen_calibrated.toggle,EXACT,CONFIRMED,engine_path financing.use_frozen_excel_senior_debt_schedule; consumed by waterfall,Engine-owned boundary; not an editable input
debt.sculpting.schedule,engine.debt_sculpting.schedule,EXACT,CONFIRMED,engine_path financing.sculpting_schedule,Engine-owned closed-form; not editable
distribution.waterfall,engine.shl_distribution.waterfall,EXACT,CONFIRMED,engine_path waterfall.shl_distribution,Engine-owned; SHL waterfall
dscr.lockup,engine.dscr.lockup,EXACT,CONFIRMED,engine_path covenants.dscr_lockup,Engine-owned; DSCR / lockup covenants
tax.loss_carryforward_motion,engine.tax.loss_carryforward_motion,EXACT,CONFIRMED,engine_path tax.loss_carryforward_motion,Engine-owned; per-period LCF roll
