canonical_field_id,registry_field_id,registry_label,registry_kind,registry_binding_status,registry_scenario_policy,registry_source_of_truth,registry_engine_path,registry_snapshot_key,registry_excel_hint_tuho,registry_excel_hint_oborovo,save_path,save_evidence_type,save_pipeline,adapter_path,adapter_evidence_type,adapter_detail,projectinputs_path,engine_consumer,engine_consumer_evidence_type,test_evidence,test_evidence_scope,runtime_validation_status,scenario_mapping_status,verified_tuho_input_cell,verified_oborovo_input_cell,verified_tuho_scenario_cell,verified_oborovo_scenario_cell,verified_tuho_scenario_range,verified_oborovo_scenario_range,runtime_binding_status,excel_mapping_status,confidence,notes
registry.project_setup.technical.horizon_years,project_setup.technical.horizon_years,Project Horizon,INPUT,BOUND,NOT_ALLOWED,INPUT_SET,info.horizon_years,horizon_years,Inputs!H11,Inputs!H11,app/persistence/projects_repository.py::save_project,EXACT_SYMBOL,,app/input_adapter.py::_resolve_user_inputs,INLINE_LOGIC,"INLINE_LOGIC in _resolve_user_inputs: if horizon_years is not None, proj.info.horizon_years = int(horizon_years)",ProjectInputs.info.horizon_years,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION — specific consumer not a single symbol),CONCEPTUAL_DESCRIPTION,tests/test_workbook_v2_browser_acceptance.py::TestTM200To300QueuedRun::test_runtime_persisted_after_run,GENERIC-ROUTE,GENERIC_ROUTE_ONLY,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.C.epc_contract,capex.C.epc_contract,EPC Contract,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.epc_contract.amount_keur,capex_epc_contract_keur,C.02.01,C.02.01,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.epc_contract.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.C.production_units,capex.C.production_units,Production Units,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.production_units.amount_keur,capex_production_units_keur,C.01.01,C.01.01,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.production_units.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.C.epc_other,capex.C.epc_other,EPC Other,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.epc_other.amount_keur,capex_epc_other_keur,C.02.02,C.02.02,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.epc_other.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.C.grid_connection,capex.C.grid_connection,Grid Connection,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.grid_connection.amount_keur,capex_grid_connection_keur,C.03.01,C.03.01,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.grid_connection.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.C.ops_preparation,capex.C.ops_preparation,Operations Preparation,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.ops_prep.amount_keur,capex_ops_prep_keur,C.15.02,C.15.02,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.ops_prep.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.C.insurances,capex.C.insurances,Insurances,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.insurances.amount_keur,capex_insurances_keur,C.06.01,C.06.01,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.insurances.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.C.lease_tax,capex.C.lease_tax,Lease & Tax,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.lease_tax.amount_keur,capex_lease_tax_keur,C.07.01,C.07.01,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.lease_tax.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.C.construction_mgmt_a,capex.C.construction_mgmt_a,Construction Management A,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.construction_mgmt_a.amount_keur,capex_construction_mgmt_a_keur,C.09.01,C.09.01,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.construction_mgmt_a.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.C.commissioning,capex.C.commissioning,Commissioning,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.commissioning.amount_keur,capex_commissioning_keur,C.10.01,C.10.01,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.commissioning.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.C.contingencies,capex.C.contingencies,Contingencies (C.13),DERIVED_DISPLAY,DISPLAY_ONLY,NOT_ALLOWED,DERIVED_UI,capex.contingencies.amount_keur,capex_contingencies_keur,C.13.01,C.13.01,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,CONFIRMED,
registry.capex.C.taxes,capex.C.taxes,Import Taxes,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.taxes.amount_keur,capex_taxes_keur,C.14.01,C.14.01,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.taxes.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.D.project_acquisition,capex.D.project_acquisition,Project Acquisition,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.project_acquisition.amount_keur,capex_project_acquisition_keur,C.15.01,C.15.01,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.project_acquisition.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.D.project_rights,capex.D.project_rights,Project Rights,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.project_rights.amount_keur,capex_project_rights_keur,C.16.01,C.16.01,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.project_rights.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.D.audit_legal,capex.D.audit_legal,Audit & Legal,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.audit_legal.amount_keur,capex_audit_legal_keur,C.11.01,C.11.01,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.audit_legal.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.D.construction_mgmt_b,capex.D.construction_mgmt_b,Construction Management B,INPUT,BOUND,OVERRIDE,INPUT_SET,capex.construction_mgmt_b.amount_keur,capex_construction_mgmt_b_keur,C.09.02,C.09.02,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides,SERVICE_PIPELINE,app/services/capex_sub_lines_integration.py::_extract_sub_line_overrides â†’ app/services/capex_sub_lines_integration.py::_load_active_sub_lines â†’ app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex â†’ app/services/capex_sub_lines_integration.py::persist_sub_line_form_edits,app/services/capex_sub_lines_integration.py::_apply_user_sub_lines_to_capex,SERVICE_PIPELINE,,ProjectInputs.capex.construction_mgmt_b.amount_keur,concrete downstream consumer verified in app/waterfall_core.py / app/reporting (CONCEPTUAL_DESCRIPTION),CONCEPTUAL_DESCRIPTION,tests/test_phase57a9c_capex_sub_lines_save_load.py::TestSaveProjectAcceptsSubLines::test_save_project_persists_sub_lines,SHARED-PIPELINE,SHARED_PIPELINE_PROVEN,SOURCE_COORDINATE_UNRESOLVED,,,,,,,RUNTIME_FULLY_BOUND,REGISTRY_HINT_ONLY,CONFIRMED,
registry.capex.F.idc,capex.F.idc,IDC,DERIVED_DISPLAY,DISPLAY_ONLY,NOT_ALLOWED,ENGINE,capex.idc_keur,capex_idc_keur,C.17 / Financing!IDC,C.17 / Financing!IDC,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,DISPLAY_ONLY,SOURCE_COORDINATE_UNRESOLVED,CONFIRMED,
registry.capex.F.bank_fees,capex.F.bank_fees,Bank Fees,TEMPLATE_INPUT,TEMPLATE_LOCKED,NOT_ALLOWED,TEMPLATE,capex.bank_fees_keur,capex_bank_fees_keur,C.17 / Financing!BankFees,C.17 / Financing!BankFees,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,CONFIRMED,
registry.capex.F.commitment_fees,capex.F.commitment_fees,Commitment Fees,TEMPLATE_INPUT,TEMPLATE_LOCKED,NOT_ALLOWED,TEMPLATE,capex.commitment_fees_keur,capex_commitment_fees_keur,C.17 / Financing!CommFees,C.17 / Financing!CommFees,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,,UNRESOLVED,UNRESOLVED,UNRESOLVED,NO_TEST_EVIDENCE,NONE,UNRESOLVED,SOURCE_COORDINATE_UNRESOLVED,,,,,,,TEMPLATE_LOCKED,SOURCE_COORDINATE_UNRESOLVED,CONFIRMED,
