canonical_concept,pack_id,model,cell_role,value_kind,unit,evidence_basis,mapping_verification_status,shared_source_id,review_note,status,confidence,verified_label_cell_tuho,verified_label_cell_oborovo,verified_value_cell_tuho,verified_value_cell_oborovo,verified_editable_cell_tuho,verified_editable_cell_oborovo,verified_formula_cell_tuho,verified_formula_cell_oborovo,verified_counterparty_label_cell_tuho,verified_counterparty_label_cell_oborovo,verified_formula_period_cell_tuho,verified_formula_period_cell_oborovo
tax.max_shl_interest_expense_amount,tax.max_shl_interest_expense_amount,BOTH,EDITABLE_HARDCODE,numeric,currency_keur,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,"Maximum SHL interest expense amount is an editable currency hardcode, separate from the EBITDA percentage concept.",ENGINE_GAP,CONFIRMED,A399,A416,D399,D416,D399,D416,,,,,,
tax.max_shl_interest_pct_ebitda,tax.max_shl_interest_pct_ebitda,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,"Maximum SHL interest as percentage of EBITDA is an editable ratio hardcode, separate from the amount concept.",ENGINE_GAP,CONFIRMED,A400,A417,D400,D417,D400,D417,,,,,,
tax.max_shl_to_equity_ratio,tax.max_shl_to_equity_ratio,BOTH,FORMULA_RESULT,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,Maximum SHL-to-equity ratio is formula-derived and belongs in the formula axis.,ENGINE_GAP,CONFIRMED,A398,A415,,,,,D398,D415,,,,
tax.shl_interest_rate_cap_applicable_foreign_shareholder,tax.shl_interest_rate_cap_applicable_foreign_shareholder,BOTH,TOGGLE,boolean,n/a,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,SHL interest rate cap applicable (foreign shareholder) toggle (True/False).,ENGINE_GAP,CONFIRMED,A395,A412,D395,D412,D395,D412,,,,,,
tax.stamp_duty.rate,tax.stamp_duty.rate,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,Stamp Duty rate. Stamp Duty cells are not WHT evidence.,ENGINE_GAP,CONFIRMED,A425,A442,D427,D444,D427,D444,,,,,,
tax.thin_capitalization_enabled,tax.thin_capitalization_enabled,BOTH,TOGGLE,boolean,n/a,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,"Thin-capitalization enablement is a boolean/toggle concept, separate from ratio, amount, and EBITDA percentage concepts.",ENGINE_GAP,CONFIRMED,A397,A414,D397,D414,D397,D414,,,,,,
tax.vat.break,tax.vat.break,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,VAT break toggle / hardcode.,ENGINE_GAP,CONFIRMED,A423,A440,D423,D440,D423,D440,,,,,,
tax.vat.rate,tax.vat.rate,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,VAT rate value cells are separate from VAT subsection label cells. VAT cells are not WHT evidence.,ENGINE_GAP,CONFIRMED,A417,A434,D421,D438,D421,D438,,,,,,
tax.vat.reimbursed,tax.vat.reimbursed,BOTH,TOGGLE,boolean,n/a,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,"VAT reimbursed toggle. This source belongs only to VAT, not WHT.",ENGINE_GAP,CONFIRMED,A419,A436,D419,D436,D419,D436,,,,,,
tax.wht.dividend.investor_1,tax.wht.dividend.investor_1,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,"WHT on dividends, Investor 1.",ENGINE_GAP,CONFIRMED,A410,A427,D410,D427,D410,D427,,,B410,B427,,
tax.wht.dividend.investor_2,tax.wht.dividend.investor_2,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,"WHT on dividends, Investor 2.",ENGINE_GAP,CONFIRMED,A411,A428,D411,D428,D411,D428,,,B411,B428,,
tax.wht.dividend.sponsor,tax.wht.dividend.sponsor,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,"WHT on dividends, Sponsor. Counterparty label cells are recorded separately from rate cells.",ENGINE_GAP,CONFIRMED,A409,A426,D409,D426,D409,D426,,,B409,B426,,
tax.wht.on_debt_interests,tax.wht.on_debt_interests,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,"WHT on debt interests (single rate, no counterparty split).",ENGINE_GAP,CONFIRMED,A405,A422,D405,D422,D405,D422,,,,,,
tax.wht.on_financial_revenues,tax.wht.on_financial_revenues,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,WHT on financial revenues (single rate).,ENGINE_GAP,CONFIRMED,A412,A429,D412,D429,D412,D429,,,,,,
tax.wht.on_technical_services,tax.wht.on_technical_services,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,WHT on technical services (single rate).,ENGINE_GAP,CONFIRMED,A414,A431,D414,D431,D414,D431,,,,,,
tax.wht.on_upfront_fees,tax.wht.on_upfront_fees,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,WHT on upfront fees (single rate).,ENGINE_GAP,CONFIRMED,A413,A430,D413,D430,D413,D430,,,,,,
tax.wht.reimbursed,tax.wht.reimbursed,BOTH,UNRESOLVED,unresolved,n/a,PROGRAMMATIC_WORKBOOK_INSPECTION,ABSENCE_CONFIRMED,,No distinct WHT reimbursement cell was confirmed. VAT reimbursement cells must not be reused as WHT evidence.,ENGINE_GAP,UNRESOLVED,,,,,,,,,,,,
tax.wht.shl_interest.investor_1,tax.wht.shl_interest.investor_1,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,"WHT on SHL interest, Investor 1.",ENGINE_GAP,CONFIRMED,A407,A424,D407,D424,D407,D424,,,B407,B424,,
tax.wht.shl_interest.investor_2,tax.wht.shl_interest.investor_2,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,"WHT on SHL interest, Investor 2.",ENGINE_GAP,CONFIRMED,A408,A425,D408,D425,D408,D425,,,B408,B425,,
tax.wht.shl_interest.sponsor,tax.wht.shl_interest.sponsor,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,"WHT on SHL interest, Sponsor.",ENGINE_GAP,CONFIRMED,A406,A423,D406,D423,D406,D423,,,B406,B423,,
tax.wht_on_senior_refinancing,tax.wht_on_senior_refinancing,BOTH,EDITABLE_HARDCODE,numeric,ratio_0_1,PROGRAMMATIC_WORKBOOK_INSPECTION,MAPPING_CONFIRMED,,WHT on Senior Refinancing (single rate).,ENGINE_GAP,CONFIRMED,A415,A432,D415,D432,D415,D432,,,,,,
technical.availability,technical.availability,BOTH,UNRESOLVED,unresolved,n/a,PROGRAMMATIC_WORKBOOK_INSPECTION,ABSENCE_CONFIRMED,,Availability factor: not in either workbook as an editable input cell. SOURCE_COORDINATE_UNRESOLVED.,ENGINE_GAP,UNRESOLVED,,,,,,,,,,,,
technical.degradation_pct,technical.degradation_pct,BOTH,UNRESOLVED,unresolved,n/a,PROGRAMMATIC_WORKBOOK_INSPECTION,ABSENCE_CONFIRMED,,Annual degradation %: not in either workbook as an editable input cell. The setter _set_technical_degradation exists in app/input_adapter.py; the editable input cell is a registry-backed concept (project_setup.technical.pv_degradation / bess_degradation).,ENGINE_GAP,UNRESOLVED,,,,,,,,,,,,
technical.p90_hours,technical.p90_hours,BOTH,UNRESOLVED,unresolved,n/a,PROGRAMMATIC_WORKBOOK_INSPECTION,ABSENCE_CONFIRMED,,P90 full-load hours: not in either workbook as an editable input cell. SOURCE_COORDINATE_UNRESOLVED.,ENGINE_GAP,UNRESOLVED,,,,,,,,,,,,
